seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,component_i_family,component_j_family,x_i,x_j,pair_interaction,absolute_pair_interaction,composition_weighted_pair_contribution,mean_abs_log_gamma,excess_gibbs_rt,evaluation_partition
4,stage2,state_a8fa882aff8f3b4520e4df41,2c_908dceb4b86ca8f62d00,isobaric,2,alkane/cycloalkane + halogenated,halogenated,alkane/cycloalkane,0.8011,0.19889999999999997,0.38190728425979614,0.38190728425979614,0.06085264456614196,0.12253382056951523,0.060852643102407455,test
4,stage2,state_a959e5868e9543e1161d33f8,2c_4cf4774918df9099eea7,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,0.8801,0.1199,0.7122698426246643,0.7122698426246643,0.07516155575042664,0.27503806352615356,0.07516156136989594,test
4,stage2,state_a994da78e002993d9ba79610,2c_acbe0e6e906b285e5990,isobaric,2,alcohol/polyol + ether/carbonyl,ether/carbonyl,alcohol/polyol,0.32,0.6799999999999999,0.7925140261650085,0.7925140261650085,0.17245105209350586,0.2286776900291443,0.17245104908943176,test
4,stage2,state_ab40272f82f62ab376ff27f0,2c_8ec77568f85fa24389e9,full_state,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.0,1.0,0.9527533054351807,0.9527533054351807,0.0,0.47637665271759033,0.0,test
4,stage2,state_ad8b94479e45470ea30f78e0,2c_4cf4774918df9099eea7,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,0.9344,0.06559999999999999,0.7197068333625793,0.7197068333625793,0.04411561067016601,0.31170472502708435,0.04411561042070389,test
4,stage2,state_ae77973f7ccb7f19646e964f,2c_5904aa1d0c1e598f9ed3,isobaric,2,alcohol/polyol + nitrogen-containing,nitrogen-containing,alcohol/polyol,0.9767,0.023299999999999987,1.6408733129501343,1.6408733129501343,0.037341534478870606,0.7730414271354675,0.037341535091400146,test
4,stage2,state_b468759a00973c22c159bae2,2c_4cf4774918df9099eea7,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,0.323,0.677,0.34945157170295715,0.34945157170295715,0.07641492463585735,0.101138174533844,0.07641492784023285,test
4,stage2,state_b50f681144ed207513f7f207,2c_26b73e2a52ff4a4f03f7,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.056,0.944,0.7829894423484802,0.7829894423484802,0.041391953880310056,0.3504171371459961,0.04139195382595062,test
4,stage2,state_b7f10c0743f0ae61c79786af,2c_94ed5d0a73a3c26e5ef5,isothermal,2,alcohol/polyol + water,alcohol/polyol,water,0.8193,0.18069999999999997,1.4229990243911743,1.4229990243911743,0.2106714622935426,0.5344980955123901,0.21067145466804504,test
4,stage2,state_b8799a95a6f33b9e1709a6e7,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,1.0,0.0,0.15987271070480347,0.15987271070480347,0.0,0.07993635535240173,0.0,test
4,stage2,state_b992eef84341fcb6ef3231a2,2c_943d83c108740e90b944,isothermal,2,halogenated + nitrogen-containing,halogenated,nitrogen-containing,0.7645,0.23550000000000004,1.2647570371627808,1.2647570371627808,0.2277065407815278,0.42185458540916443,0.22770653665065765,test
4,stage2,state_ba8a44f78baf11f479d68128,2c_66efe142b432478577a5,isothermal,2,alcohol/polyol + aromatic/unsaturated hydrocarbon,alcohol/polyol,aromatic/unsaturated hydrocarbon,0.883,0.11699999999999999,1.5410295724868774,1.5410295724868774,0.15920530616319178,0.6169512271881104,0.15920530259609222,test
4,stage2,state_bb399d9cd9be88d8c861d9d7,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,alkane/cycloalkane,sulfur-containing,0.7993,0.2007,0.22302217781543732,0.22302217781543732,0.03577710848428532,0.07924048602581024,0.03577710688114166,test
4,stage2,state_bb705021fe3d678feacd66f1,2c_1490252da7453cbbebe4,isothermal,2,alcohol/polyol + alkane/cycloalkane,alcohol/polyol,alkane/cycloalkane,0.9586,0.04139999999999999,1.8683772087097168,1.8683772087097168,0.07414849263994215,0.8560414910316467,0.07414849102497101,test
4,stage2,state_be96b9f87d8eab325d550b0f,2c_7c57a80413db66443080,isobaric,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.4389,0.5610999999999999,0.12700147926807404,0.12700147926807404,0.03127624662460014,0.07045482844114304,0.031276244670152664,test
4,stage2,state_bf940c5e9ed747ae43be2ad8,2c_908dceb4b86ca8f62d00,isothermal,2,alkane/cycloalkane + halogenated,alkane/cycloalkane,halogenated,0.3689,0.6311,0.3575334846973419,0.3575334846973419,0.08323836809081048,0.09510423243045807,0.08323837071657181,test
4,stage2,state_c0bc2707742c0cbffc6da4dd,2c_8ec77568f85fa24389e9,isobaric,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.667,0.33299999999999996,1.099631667137146,1.099631667137146,0.2442402892194986,0.303415447473526,0.24424028396606445,test
4,stage2,state_c120297b27321f9e2be55c40,2c_7c57a80413db66443080,isobaric,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.974,0.026000000000000023,-0.07188709080219269,0.07188709080219269,-0.0018204686874747293,0.029585717245936394,-0.0018204686930403113,test
4,stage2,state_c3b4d241670e5fa8e963c3f6,2c_f6e4afdc0101fe369605,isobaric,2,alkane/cycloalkane + carboxylic acid/ester,alkane/cycloalkane,carboxylic acid/ester,0.7839,0.21609999999999996,0.8552113175392151,0.8552113175392151,0.14487347280808385,0.2594045102596283,0.1448734849691391,test
4,stage2,state_c469cbed39f0ecaa20faf174,2c_94ed5d0a73a3c26e5ef5,isobaric,2,alcohol/polyol + water,alcohol/polyol,water,0.228,0.772,2.068179130554199,2.068179130554199,0.36403261784362795,0.5830181837081909,0.3640326261520386,test
4,stage2,state_c5da305b9beca10db9ccf739,2c_8ec77568f85fa24389e9,isothermal,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.208,0.792,0.9693728089332581,0.9693728089332581,0.1596905990524292,0.32873091101646423,0.15969060361385345,test
4,stage2,state_c671f8ba1ab3b180df375b6a,2c_4cf4774918df9099eea7,isobaric,2,carboxylic acid/ester + carboxylic acid/ester,carboxylic acid/ester,carboxylic acid/ester,0.4006,0.5993999999999999,0.3534022867679596,0.3534022867679596,0.08485882987389921,0.09368616342544556,0.08485881984233856,test
4,stage2,state_c728d1869c3d1041eb8ac500,2c_6aab25a5edecf15e2cbf,isothermal,2,alcohol/polyol + alcohol/polyol,alcohol/polyol,alcohol/polyol,0.7505,0.24950000000000006,0.3093109130859375,0.3093109130859375,0.05791839114761353,0.09775662422180176,0.05791839584708214,test
4,stage2,state_c75836b9ef379e860d4921ff,2c_b94de72ffbeb53d6294b,isobaric,2,aromatic/unsaturated hydrocarbon + sulfoxide/sulfone,aromatic/unsaturated hydrocarbon,sulfoxide/sulfone,0.3824,0.6175999999999999,0.47574612498283386,0.47574612498283386,0.11235707651626586,0.1214141696691513,0.11235707998275757,test
4,stage2,state_c8a51d4f3a8b5cd2d71b97bb,2c_94ed5d0a73a3c26e5ef5,isobaric,2,alcohol/polyol + water,alcohol/polyol,water,0.848,0.15200000000000002,1.412920594215393,1.412920594215393,0.1821198129119873,0.5560028553009033,0.18211981654167175,test
4,stage2,state_c8d27da3a644d318672a6026,2c_26b73e2a52ff4a4f03f7,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.0,1.0,0.7836921811103821,0.7836921811103821,0.0,0.39184609055519104,0.0,test
4,stage2,state_ca0b2ac1020e3c42166e3be4,2c_8ec77568f85fa24389e9,isobaric,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.251,0.749,1.0722767114639282,1.0722767114639282,0.20158694947850705,0.33677926659584045,0.20158694684505463,test
4,stage2,state_ca12a26d4f5d70056ca9eb11,2c_26b73e2a52ff4a4f03f7,isothermal,2,alkane/cycloalkane + sulfur-containing,sulfur-containing,alkane/cycloalkane,0.819,0.18100000000000005,0.8183526396751404,0.8183526396751404,0.12131177695280317,0.27594447135925293,0.12131177634000778,test
4,stage2,state_cc3130995cf482d1fa54b332,2c_7c57a80413db66443080,isobaric,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.662,0.33799999999999997,0.016509920358657837,0.016509920358657837,0.003694193739771843,0.042943984270095825,0.003694193670526147,test
4,stage2,state_d044d14f358cc439d8179fe6,2c_f6f5f309e3d6c1952684,isobaric,2,alcohol/polyol + alcohol/polyol,alcohol/polyol,alcohol/polyol,0.2936,0.7063999999999999,-0.06599175930023193,0.06599175930023193,-0.013686627526779176,0.018718982115387917,-0.013686626218259335,test
4,stage2,state_d0db4b7dfcb331f9907b0774,2c_8ec77568f85fa24389e9,isobaric,2,alcohol/polyol + carboxylic acid/ester,alcohol/polyol,carboxylic acid/ester,0.148,0.852,1.0663975477218628,1.0663975477218628,0.134468465177536,0.4002203345298767,0.1344684660434723,test
