seed,selected_stage,sample_id,system_id,direction,component_count,chemical_family,evaluation_partition,explanation_mode,output,view,shapley_value,absolute_shapley_value,empty_value,full_value,additivity_error
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,rdkit_2d,0.319399893283844,0.319399893283844,0.1106574535369873,0.9359943866729736,0.0
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,unimol_v2,0.0247294120490551,0.0247294120490551,0.1106574535369873,0.9359943866729736,0.0
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_log_alpha,functional_groups,0.4812076687812805,0.4812076687812805,0.1106574535369873,0.9359943866729736,0.0
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,rdkit_2d,0.1463908702135086,0.1463908702135086,0.18262247741222382,0.5897281765937805,4.470348358154297e-08
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,unimol_v2,-0.039190616458654404,0.039190616458654404,0.18262247741222382,0.5897281765937805,4.470348358154297e-08
0,stage2,state_0c31a851edb98677100c0020,2c_4cc4055379eb0154120e,isothermal,2,alkane/cycloalkane + sulfur-containing,test,teacher_forced_observed_T_P_x,mean_abs_pair_interaction,functional_groups,0.2999054789543152,0.2999054789543152,0.18262247741222382,0.5897281765937805,4.470348358154297e-08
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,rdkit_2d,0.18300367891788483,0.18300367891788483,0.023359542712569237,0.25500667095184326,5.587935447692871e-09
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,unimol_v2,0.014262968674302101,0.014262968674302101,0.023359542712569237,0.25500667095184326,5.587935447692871e-09
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,ge_rt,functional_groups,0.034380488097667694,0.034380488097667694,0.023359542712569237,0.25500667095184326,5.587935447692871e-09
0,stage2,state_0c4ad6871cde7ec35299a4f1,2c_e38d1f19a6809ae85603,isobaric,2,alcohol/polyol + alkane/cycloalkane,test,teacher_forced_observed_T_P_x,mean_abs_log_gamma,rdkit_2d,0.2872116267681122,0.2872116267681122,0.03466286510229111,0.3938843607902527,2.2351741790771484e-08
