stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
51,410.21478912905445,0.003275983942624268,0.14952751851058269,0.847196497546793,0.00850925861074002,0.42531528143222225,0.5661754599570378
52,410.2145213264768,0.003451424387362392,0.14935974193778895,0.8471888336748487,0.008964664486441091,0.4248799574297547,0.5661553780838042
53,410.2142506705238,0.0036343031876190394,0.1491847730939383,0.8471809237184427,0.00943935045120614,0.42442600746147513,0.5661346420873188
54,410.21397777108604,0.0038249473318421666,0.14900228896316844,0.8471727637049894,0.009934162236849318,0.42395259749848935,0.5661132402646614
55,410.21370333079045,0.004023698915544685,0.1488119510026887,0.8471643500817666,0.01044998456996327,0.4234588535627572,0.5660911618672795
56,410.2134281553367,0.004230915868485852,0.14861340434043974,0.8471556797910744,0.010987743052046783,0.42294385966531395,0.5660683972826392
57,410.213153164893,0.00444697271503972,0.14840627693077343,0.8471467503541869,0.011548406127025866,0.42240665563539753,0.5660449382375766
58,410.21287940664115,0.004672261368523396,0.14819017866661344,0.8471375599648632,0.012132987138568868,0.4218462348359839,0.5660207780254471
59,410.2126080685674,0.004907191960108411,0.14796470044673599,0.8471281075931556,0.012742546479285513,0.42126154176157415,0.5659959117591403
60,410.2123404945924,0.005152193702751556,0.14772941319710964,0.8471183931001388,0.013378193833496789,0.42065146951455634,0.5659703366519468
61,410.21207820111977,0.005407715790349509,0.14748386684568646,0.847108417363964,0.014041090514757349,0.4200148571572635,0.5659440523279792
62,410.2118228950592,0.005674228332039699,0.1472275892507234,0.8470981824172369,0.014732451898680816,0.41935048693808485,0.5659170611632343
63,410.2115764933439,0.005952223321235934,0.14696008508374367,0.8470876915950204,0.015453549950860786,0.41865708139184427,0.5658893686572949
64,410.2113411438756,0.00624221563859761,0.14668083466979032,0.8470769496916121,0.016205715848771687,0.41793330031744014,0.565860983833788
65,410.2111192477184,0.0065447440876929405,0.14638929278993393,0.8470659631223731,0.016990342695484446,0.4171777376399523,0.5658319196645633
66,410.210913482155,0.006860372461640083,0.1460848874544338,0.8470547400839261,0.017808888321841167,0.4163889181706024,0.5658021935075565
67,410.21072682390627,0.007189690638527456,0.14576701866012745,0.8470432907013451,0.01866287817244608,0.4155652942873319,0.565771827540222
68,410.2105625713044,0.00753331570298207,0.1454350571533827,0.8470316271436352,0.019553908269521754,0.41470524257265856,0.5657408491578196
69,410.2104243634355,0.007891893090977145,0.14508834323165365,0.8470197636773692,0.02048364824751659,0.4138070604666531,0.5657092912858304
70,410.2103161930251,0.008266097755026453,0.14472618563437428,0.8470077166105993,0.021453844450588653,0.41286896302432285,0.5656771925250884
71,410.21024240795674,0.00865663534760045,0.14434786060058855,0.846995504051811,0.02246632308524596,0.41188907991469625,0.5656445970000578
72,410.21020769335985,0.009064243422430805,0.14395261121121808,0.8469831453663511,0.0235229934222849,0.41086545287104215,0.565611553706673
73,410.2102170216764,0.009489692657168428,0.1435396471951806,0.846970660147651,0.024625851047127868,0.40979603391122155,0.5655781150416505
74,410.2102755511284,0.009933788107971459,0.1431081454715088,0.8469580664205197,0.025776981167926878,0.40867868481301484,0.5655443340190583
75,410.21038843703116,0.010397346926998901,0.14265706540371859,0.8469455876692825,0.026978562013387587,0.40751117859108454,0.5655102593955279
76,410.21058295827834,0.01088126037094897,0.14218559654023552,0.8469331430888155,0.028232804531761038,0.40629069959870323,0.5654764958695359
77,410.21085411643156,0.011386439649971119,0.14169277216448292,0.846920788185546,0.029542120182058467,0.4050150550188352,0.5654428247991063
78,410.21121165239396,0.011913833416391848,0.1411775803700065,0.8469085862136017,0.030908974408704958,0.40368162922429945,0.5654093963669956
79,410.21166634590213,0.012464428315136587,0.14063896265845324,0.8468966090264102,0.032335933962731184,0.40228768431850664,0.5653763817187621
80,410.212230116903,0.0130392493252783,0.14007581266848704,0.8468849380062347,0.03382566839104663,0.4008303563420568,0.5653439752668966
81,410.2129161352281,0.0136393598438653,0.13948697508119104,0.8468736650749437,0.03538095096077141,0.3993066518344983,0.5653123972047304
82,410.213738938937,0.014265861455006735,0.13887124475453583,0.8468628937904574,0.037004658885745105,0.3977134448712624,0.5652818962429925
83,410.2147145614382,0.014919893318680634,0.13822736615099582,0.8468527405303236,0.03869977270174186,0.3960474747219039,0.5652527525763542
84,410.215860667389,0.01560263110384774,0.13755403313336934,0.8468433357627829,0.04046937461285869,0.39430534430179304,0.5652252810853483
85,410.2171966972454,0.01631528537939635,0.13684988921557156,0.8468348254050321,0.04231664560448089,0.3924835196183532,0.5651998347771658
86,410.2187440199927,0.017059099364807918,0.13611352837027452,0.8468273722649176,0.044244861089316564,0.39057833044859813,0.5651768084620853
87,410.2205260928879,0.01783534593083765,0.1353434965159022,0.8468211575532602,0.04625738482345593,0.3885859725312995,0.5651566426452446
88,410.2225686273403,0.018645323724806716,0.13453829381420762,0.8468163824609857,0.04835766079006341,0.3865025115860104,0.5651398276239261
89,410.2248997589439,0.019490352282838696,0.13369637793547196,0.8468132697816894,0.05054920271568885,0.3843238895296442,0.5651269077546669
90,410.2275502190183,0.020371765977376142,0.13281616846919606,0.8468120655534278,0.05283558084657468,0.382045933314066,0.5651184858393593
91,410.23055350483514,0.021290906632302854,0.13189605267157242,0.8468130406961247,0.0552204055691784,0.3796643668504542,0.5651152275803674
92,410.23394604343474,0.022249114629974642,0.1309343927778343,0.846816492592191,0.057707307432133,0.37717482656895307,0.565117865998914
93,410.2377673440808,0.023247718319690705,0.12992953511553812,0.8468227465647712,0.06029991308333098,0.3745728811996101,0.565127205717059
94,410.2420601326124,0.024288021531150693,0.12887982127837486,0.8468321571904744,0.06300181661024876,0.3718540564249146,0.5651441269648367
95,410.2468704586982,0.025371288997658923,0.12778360164644878,0.8468451093558923,0.0658165457598152,0.3690138651237758,0.5651695891164089
96,410.2522477664608,0.02649872949320257,0.12663925153591934,0.8468620189708781,0.06874752249669917,0.3660478439489471,0.5652046335543538
97,410.25824491610877,0.027671476505377116,0.12544519027526815,0.8468833332193547,0.07179801738050423,0.36295159702839175,0.565250385591104
98,410.2649181434519,0.028890566286612754,0.1241999034854006,0.8469095302279867,0.07497109726863237,0.3597208475703359,0.5653080551610317
99,410.27232694111245,0.03015691317085038,0.12290196882854927,0.8469411180006003,0.0782695659304835,0.35635149814777256,0.5653789359217439
100,410.2805338440756,0.03147128209840343,0.12155008544256242,0.8469786324590342,0.08169589726179155,0.35283970036633994,0.5654644023718686
101,410.2896041003932,0.03283425837176274,0.12014310721137794,0.8470226344168593,0.08525216094676742,0.34918193450629625,0.5655659045469363
102,410.2996052070889,0.03424621476732564,0.11868007992275326,0.8470737053099211,0.0889399406273612,0.3453750995424339,0.5656849598302051
103,410.3106062910223,0.03570727625781018,0.11716028223142443,0.8471324415107654,0.0927602449180909,0.3414166136808727,0.5658231414010365
104,410.3226773153829,0.03721728275771792,0.11558327017333385,0.8471994470689482,0.09671341195560673,0.337304525191478,0.5659820628529152
105,410.33588809470416,0.03877575048998381,0.11394892476259014,0.8472753247474261,0.10079900859959742,0.3330376328489508,0.5661633585514518
106,410.35030710542844,0.040381832782359066,0.11225750194572616,0.8473606652719148,0.10501572590319158,0.32861561471508055,0.566368659381728
107,410.36600008523715,0.042034281331988055,0.1105096838919829,0.847456034776029,0.1093612730408431,0.32403916329953286,0.5665995636596239
108,410.3830284230671,0.04373140921569287,0.10870663027108127,0.8475619605132259,0.11383227250268951,0.3193101243350953,0.5668576031622151
109,410.40144735287726,0.0454710571585317,0.10685002782670608,0.8476789150147622,0.11842416001229503,0.3144316355190881,0.5671442044686168
110,410.4213039779198,0.04725056478461069,0.10494213621461763,0.8478072990007717,0.12313109325950987,0.30940826064273447,0.5674606460977558
111,410.4426351680154,0.049066748739806695,0.10298582776839911,0.8479474234917942,0.12794587411323496,0.3042461136135974,0.5678080122731677
112,410.46546538923684,0.05091588967072883,0.10098461861901005,0.8480994917102611,0.1328598894300326,0.298952966050664,0.5681871445193033
113,410.48980454289983,0.0527937300371679,0.09894268846243494,0.8482635815003972,0.13786307582597604,0.2935383314860258,0.5685985926879982
114,410.51564590695244,0.054695484602339174,0.09686488628586921,0.8484396291117916,0.1429439137606794,0.2880135188515096,0.5690425673878109
115,410.54296428689764,0.056615865158575224,0.0947567195577956,0.8486274152836292,0.1480894559089468,0.2823916479623841,0.5695188961286691
116,410.571714490793,0.05854912061283202,0.092624324807274,0.848826554579894,0.15328539404977556,0.2766876202628392,0.5700269856873852
117,410.6018302418269,0.06048909297705905,0.09047441817149261,0.8490364888514483,0.1585161675491461,0.27091803924126967,0.5705657932095842
118,410.6332236368148,0.06242928905654363,0.08831422533107983,0.8492564856123765,0.16376511486140632,0.2651010766322923,0.5711338085063015
119,410.66578524167636,0.06436296679336738,0.08615139128843909,0.8494856419181935,0.16901466748516325,0.2592562828358855,0.5717290496789513
120,410.6993848874819,0.06628323434552841,0.0839938716023293,0.8497228940521423,0.17424658355771788,0.2534043427921643,0.5723490736501178
121,410.7338731920154,0.06818315915146483,0.08184980789673352,0.8499670329518016,0.17944221594080156,0.24756678170397178,0.5729910023552265
122,410.7690837896551,0.0700558834752795,0.07972739157588535,0.8502167249488352,0.184582807329495,0.24176562821198763,0.5736515644585174
123,410.80483620688517,0.0718947423544354,0.07763472061203101,0.8504705370335336,0.1896498028763983,0.2360230456480163,0.5743271514755854
124,410.84093927358634,0.07369337956615957,0.07557965493968316,0.8507269654941573,0.194625169316959,0.23036094454631995,0.575013886136721
125,410.8771949186078,0.07544585721266824,0.0735696762964551,0.8509844664908767,0.19949170873664762,0.22480059138614142,0.5757076998772109
126,410.91340216502573,0.07714675482305007,0.07161175825728808,0.8512414869196618,0.20423335507482546,0.21936222936628288,0.5764044155588917
127,410.9493611188718,0.07879125446845792,0.06971225171613792,0.8514964938154042,0.2088354422636264,0.21406472675939672,0.5770998309769769
128,410.98487673616205,0.08037520924626683,0.06787679022231276,0.8517480005314204,0.21328493452219838,0.20892526706176434,0.5777897984160373
129,411.0197621563726,0.0818951935420459,0.0661102184606912,0.8519945879972629,0.217570611652918,0.20395909286353148,0.5784702954835506
