dataset,component_count,system_id,system_label,data_points,references,unique_temperatures,unique_pressures,temperature_min_k,temperature_max_k,pressure_min_kpa,pressure_max_kpa,liquid_composition_min,liquid_composition_max,vapor_composition_min,vapor_composition_max,component_order_variants
Binary,2,smiles:C=C(Cl)C(F)(F)F || smiles:CC(F)(Cl)C(F)(F)F,"2-氯-3,3,3-三氟丙烯 / 2-氯-1,1,1,2-四氟丙烷",30,1,3,26,303.15,323.15,179.500036702848,340.49999497728,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)(C)CO || smiles:COC(C)(C)C,"2,2-二甲基-1-丙醇 / 2-甲氧基-2-甲基丙烷",30,1,3,30,320.0,340.0,5.1099797207040005,146.970045522688,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CC(C)O || smiles:OCc1ccco1,2-丙醇 / 糠醇,30,1,3,30,353.2,408.2,9.500018654208,512.299998316288,0.062,0.938,0.0040000000000000036,0.996,1
Binary,2,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:CC(F)(F)F,"三己基十四烷基膦双(2,4,4-三甲基戊基)亚膦酸酯 / 1,1,1-三氟乙烷",30,1,25,30,302.29999999999995,343.79999999999995,168.999966966272,1136.000034339968,0.087,0.913,0.0,1.0,1
Binary,2,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:CC(F)F,"三己基十四烷基膦双(2,4,4-三甲基戊基)亚膦酸酯 / 1,1-二氟乙烷",30,1,25,29,302.2,343.2,55.000009760512,560.9999928993279,0.067,0.933,0.0,1.0,1
Binary,2,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:CCF,"三己基十四烷基膦双(2,4,4-三甲基戊基)亚膦酸酯 / 氟乙烷",30,1,25,30,302.2,343.29999999999995,97.00002206207999,594.999996509056,0.139,0.861,0.0,1.0,1
Binary,2,smiles:CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC || smiles:FCC(F)(F)F,"三己基十四烷基膦双(2,4,4-三甲基戊基)亚膦酸酯 / 1,1,1,2-四氟乙烷",30,1,26,30,302.9,343.59999999999997,163.999978199168,800.999987009792,0.199,0.8009999999999999,0.0,1.0,1
Binary,2,smiles:CCC(C)=O || smiles:COCCO,丁酮 / 2-甲氧基乙醇,30,1,30,3,345.59999999999997,402.7,74.500005948928,134.000045596544,0.0332,0.9668,0.017800000000000038,0.9822,1
Binary,2,smiles:CCCCCCCCC || smiles:CCOC=O,正壬烷 / 甲酸乙酯,30,1,30,1,327.33,423.93999999999994,101.319933430016,101.319933430016,0.0,1.0,0.0,1.0,1
Binary,2,smiles:CCO || smiles:CCOC(C)(C)CC,"乙醇 / 乙基-1,1-二甲基丙基醚",30,1,29,1,349.2,365.29999999999995,101.32499967999999,101.32499967999999,0.0031999999999999806,0.9968,0.017299999999999982,0.9827,1
