component_id,canonical_smiles,inchikey,representative_original_name,representative_formula,representative_raw_smiles,dataset_membership,record_occurrences,binary_record_occurrences,ternary_record_occurrences,unique_systems,identity_methods,has_parseable_smiles,raw_missing_smiles_occurrences,raw_smiles_parse_failures,name_variants,formula_variants,umap_1,umap_2,umap_status,molecular_weight_g_mol,logp,tpsa_a2,primary_functional_family,functional_families,fingerprint_radius,fingerprint_bits
smiles:CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,辛酸甲酯,C9H18O2,CCCCCCCC(=O)OC,Binary only,39,39,0,1,canonical_smiles,True,0,0,1,1,6.939561367034912,6.107189178466797,projected,158.24099999999999,2.5199000000000007,26.3,ester,ester;ether,2,2048
smiles:CCCCCCCC/C=C\CCCCCCCC(=O)OC,CCCCCCCC/C=C\CCCCCCCC(=O)OC,QYDYPVFESGNLHU-KHPPLWFESA-N,顺式油酸甲酯,C19H36O2,CCCCCCCC/C=C\CCCCCCCC(=O)OC,Binary only,9,9,0,1,canonical_smiles,True,0,0,1,1,6.7615766525268555,6.03200101852417,projected,296.49499999999995,6.1969000000000065,26.3,ester,ester;ether,2,2048
smiles:CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,PHYFQTYBJUILEZ-IUPFWZBJSA-N,三油酸甘油酯,C57H104O6,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,Binary only,21,21,0,1,canonical_smiles,True,0,0,1,1,7.108854293823242,5.861665725708008,projected,885.4529999999991,18.097099999999976,78.9,ester,ester;ether,2,2048
smiles:CCCCCCCCC,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,正壬烷,C9H20,CCCCCCCCC,Binary only,296,296,0,12,canonical_smiles,True,0,0,1,1,13.526021957397461,7.312888145446777,projected,128.259,3.7569000000000026,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCCCCCC,CCCCCCCCCC,DIOQZVSQGTUSAI-UHFFFAOYSA-N,正癸烷,C10H22,CCCCCCCCCC,Binary only,166,166,0,10,canonical_smiles,True,0,0,1,1,13.580228805541992,7.192279815673828,projected,142.286,4.147000000000004,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCCCCCC(=O)OC,CCCCCCCCCC(=O)OC,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,癸酸甲酯,C11H22O2,CCCCCCCCCC(=O)OC,Binary only,78,78,0,2,canonical_smiles,True,0,0,1,1,6.884303092956543,5.954699516296387,projected,186.295,3.3001000000000023,26.3,ester,ester;ether,2,2048
smiles:CCCCCCCCCCC,CCCCCCCCCCC,RSJKGSCJYJTIGS-UHFFFAOYSA-N,十一烷,C11H24,CCCCCCCCCCC,Binary only,86,86,0,4,canonical_smiles,True,0,0,1,1,13.495626449584961,7.1683831214904785,projected,156.313,4.537100000000004,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCCCCCCCC,CCCCCCCCCCCC,SNRUBQQJIBEYMU-UHFFFAOYSA-N,十二烷,C12H26,CCCCCCCCCCCC,Binary only,10,10,0,1,canonical_smiles,True,0,0,1,1,13.629317283630371,7.381401538848877,projected,170.33999999999997,4.9272000000000045,0.0,hydrocarbon,hydrocarbon,2,2048
smiles:CCCCCCCCCCCC(=O)OC,CCCCCCCCCCCC(=O)OC,UQDUPQYQJKYHQI-UHFFFAOYSA-N,十二酸甲酯,C13H26O2,CCCCCCCCCCCC(=O)OC,Binary only,59,59,0,2,canonical_smiles,True,0,0,1,1,6.8630571365356445,6.002167224884033,projected,214.34899999999996,4.080300000000003,26.3,ester,ester;ether,2,2048
smiles:CCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCC(=O)OCC,MMXKVMNBHPAILY-UHFFFAOYSA-N,十二酸乙酯,C14H28O2,CCCCCCCCCCCC(=O)OCC,Binary only,22,22,0,1,canonical_smiles,True,0,0,1,1,7.320180416107178,5.932638168334961,projected,228.37599999999995,4.470400000000004,26.3,ester,ester;ether,2,2048
