dataset,system_id,system_formula_label,family_1,family_2,family_pair,data_points
Binary,smiles:C=C(F)C(F)(F)F || smiles:CC(F)(F)C(F)(F)F,C3H2F4 / C3H3F5,halogenated,halogenated,halogenated + halogenated,44
Binary,smiles:CCN(CC)CCCO || smiles:O,C7H17NO / H2O,alcohol,water,alcohol + water,44
Binary,smiles:CC[N+](=O)[O-] || smiles:ClCCCl,C2H5NO2 / C2H4Cl2,amine,halogenated,amine + halogenated,44
Binary,smiles:O=C1OC(=O)c2cc(Cl)ccc21 || smiles:O=C1OC(=O)c2cc(F)ccc21,C8H3ClO3 / C8H3FO3,ester,ester,ester + ester,44
Binary,smiles:CC#N || smiles:CO,C2H3N / CH4O,alcohol,other,alcohol + other,43
Binary,smiles:CCCC || smiles:FC(F)F,C4H10 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,43
Binary,smiles:CCCCCC || smiles:O=C=O,C6H14 / CO2,hydrocarbon,other,hydrocarbon + other,43
Binary,smiles:CCCO || smiles:CCO,C3H8O / C2H6O,alcohol,alcohol,alcohol + alcohol,43
Binary,smiles:CN(C)CCCO || smiles:O,C5H13NO / H2O,alcohol,water,alcohol + water,43
Binary,fallback:d9df4fd9b4b52f0e || smiles:O=Cc1ccccc1,C9H8O / C7H6O,aromatic,unresolved,aromatic + unresolved,42
Binary,fallback:f5d528f59fc9b38a || smiles:O,C9H16N2 / H2O,unresolved,water,unresolved + water,42
Binary,smiles:C1CCOC1 || smiles:CCCCCCl,C4H8O / C5H11Cl,ether,halogenated,ether + halogenated,42
Binary,smiles:C1COCCO1 || smiles:CCC(C)O,C4H8O2 / C4H10O,alcohol,ether,alcohol + ether,42
Binary,smiles:C1COCCO1 || smiles:CCCCCCl,C4H8O2 / C5H11Cl,ether,halogenated,ether + halogenated,42
Binary,smiles:C1COCO1 || smiles:CCCCCCl,C3H6O2 / C5H11Cl,ether,halogenated,ether + halogenated,42
Binary,smiles:CC(C)C(=O)C(C)C || smiles:CC(C)CC(C)(C)C,C7H14O / C8H18,hydrocarbon,ketone,hydrocarbon + ketone,42
Binary,smiles:CC(C)CC(C)(C)C || smiles:CCO,C8H18 / C2H6O,alcohol,hydrocarbon,alcohol + hydrocarbon,42
Binary,smiles:CC(Cl)(Cl)Cl || smiles:O=C1CCCCC1,C2H3Cl3 / C6H10O,halogenated,ketone,halogenated + ketone,42
Binary,smiles:CC1CCCCC1 || smiles:CCOCCO,C7H14 / C4H10O2,alcohol,hydrocarbon,alcohol + hydrocarbon,42
Binary,smiles:CCC(=O)O || smiles:CCC(=O)OCCC(C)C,C3H6O2 / C8H16O2,acid,ester,acid + ester,42
Binary,smiles:CCCCCCCCCCC || smiles:O=C=O,C11H24 / CO2,hydrocarbon,other,hydrocarbon + other,42
Binary,smiles:CCCCCCl || smiles:C[N+](=O)[O-],C5H11Cl / CH3NO2,amine,halogenated,amine + halogenated,42
Binary,smiles:CCCCCl || smiles:CC[N+](=O)[O-],C4H9Cl / C2H5NO2,amine,halogenated,amine + halogenated,42
Binary,smiles:CCCCO || smiles:CCCCOCCCC,C4H10O / C8H18O,alcohol,ether,alcohol + ether,42
Binary,smiles:CCCO || smiles:CCCOCCC,C3H8O / C6H14O,alcohol,ether,alcohol + ether,42
Binary,smiles:CC || smiles:FC(F)F,C2H6 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,41
Binary,smiles:CC(C)C(C)C || smiles:CC(C)OC(C)C,C6H14 / C6H14O,ether,hydrocarbon,ether + hydrocarbon,41
Binary,smiles:CC(C)O || smiles:CC(C)OC(C)C,C3H8O / C6H14O,alcohol,ether,alcohol + ether,41
Binary,smiles:CC(C)OCCO || smiles:O=C=O,C5H12O2 / CO2,alcohol,other,alcohol + other,41
Binary,smiles:COCC(C)O || smiles:O,C4H10O2 / H2O,alcohol,water,alcohol + water,41
Binary,smiles:C1CC1 || smiles:FC(F)C(F)(F)F,C3H6 / C2HF5,halogenated,hydrocarbon,halogenated + hydrocarbon,40
Binary,smiles:C1CCCCC1 || smiles:OC1CCCCC1,C6H12 / C6H12O,alcohol,hydrocarbon,alcohol + hydrocarbon,40
Binary,smiles:CCC(C)=O || smiles:CCO,C4H8O / C2H6O,alcohol,ketone,alcohol + ketone,40
Binary,smiles:CCCC || smiles:CCSCC,C4H10 / C4H10S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,40
Binary,smiles:CCCC || smiles:FC(F)=C(F)C(F)(F)F,C4H10 / C3F6,halogenated,hydrocarbon,halogenated + hydrocarbon,40
Binary,smiles:CCCCCCCC || smiles:CCCOCCO,C8H18 / C5H12O2,alcohol,hydrocarbon,alcohol + hydrocarbon,40
Binary,smiles:Cc1ccccc1 || smiles:c1ccccc1,C7H8 / C6H6,aromatic,aromatic,aromatic + aromatic,40
Binary,smiles:Cl[SiH2]Cl || smiles:Cl[SiH](Cl)Cl,Cl2H2Si / Cl3HSi,halogenated,halogenated,halogenated + halogenated,40
Binary,smiles:F/C=C/C(F)(F)F || smiles:FC(F)C(F)F,C3H2F4 / C2H2F4,halogenated,halogenated,halogenated + halogenated,40
Binary,smiles:F/C=C/C(F)(F)F || smiles:FCC(F)(F)F,C3H2F4 / C2H2F4,halogenated,halogenated,halogenated + halogenated,40
Binary,smiles:C1CCOCC1 || smiles:CCCCCCl,C5H10O / C5H11Cl,ether,halogenated,ether + halogenated,39
Binary,smiles:C=CCCCC || smiles:FC(F)(F)C(F)(F)F,C6H12 / C2F6,halogenated,hydrocarbon,halogenated + hydrocarbon,39
Binary,smiles:CC(=O)C(C)C || smiles:CC(C)OC(C)C,C5H10O / C6H14O,ether,ketone,ether + ketone,39
Binary,smiles:CC(C)=C(C)C || smiles:c1ccsc1,C6H12 / C4H4S,hydrocarbon,sulfur-containing,hydrocarbon + sulfur-containing,39
Binary,smiles:CC(C)CC(C)(C)C || smiles:CC(C)CO,C8H18 / C4H10O,alcohol,hydrocarbon,alcohol + hydrocarbon,39
Binary,smiles:CCCCC || smiles:COC=O,C5H12 / C2H4O2,ester,hydrocarbon,ester + hydrocarbon,39
Binary,smiles:CCCCCCCC(=O)OC || smiles:CCCCCCCCCC(=O)OC,C9H18O2 / C11H22O2,ester,ester,ester + ester,39
Binary,smiles:CCCCCCCCCC(=O)OC || smiles:CCCCCCCCCCCC(=O)OC,C11H22O2 / C13H26O2,ester,ester,ester + ester,39
Binary,smiles:CCCCCCl || smiles:CC[N+](=O)[O-],C5H11Cl / C2H5NO2,amine,halogenated,amine + halogenated,39
Binary,smiles:CCCCCl || smiles:CCCCOCC,C4H9Cl / C6H14O,ether,halogenated,ether + halogenated,39
Binary,smiles:CCCCCl || smiles:O=C1CCCCC1,C4H9Cl / C6H10O,halogenated,ketone,halogenated + ketone,39
Binary,smiles:Cl[SiH](Cl)Cl || smiles:Cl[Si](Cl)(Cl)Cl,Cl3HSi / Cl4Si,halogenated,halogenated,halogenated + halogenated,39
Binary,smiles:C1CC1 || smiles:FCC(F)(F)F,C3H6 / C2H2F4,halogenated,hydrocarbon,halogenated + hydrocarbon,38
Binary,smiles:C=CC(C)(O)CCC=C(C)C || smiles:CCO,C10H18O / C2H6O,alcohol,alcohol,alcohol + alcohol,38
Binary,smiles:C=CCC || smiles:FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4H8 / C4F10,halogenated,hydrocarbon,halogenated + hydrocarbon,38
Binary,smiles:CC(=O)C(C)C || smiles:CC(C)O,C5H10O / C3H8O,alcohol,ketone,alcohol + ketone,38
Binary,smiles:CC(C)=O || smiles:CCOC(=O)OCC,C3H6O / C5H10O3,ester,ketone,ester + ketone,38
Binary,smiles:CC(C)C || smiles:CCO,C4H10 / C2H6O,alcohol,hydrocarbon,alcohol + hydrocarbon,38
Binary,smiles:CC(C)C(=O)C(C)C || smiles:CC(C)O,C7H14O / C3H8O,alcohol,ketone,alcohol + ketone,38
Binary,smiles:CCC(C)CC || smiles:FC(F)F,C6H14 / CHF3,halogenated,hydrocarbon,halogenated + hydrocarbon,38
