ternary_system_id,component_id_1,component_id_2,component_id_3,available_binary_subsystems,coverage_category,binary_subsystem_1,binary_subsystem_1_available,binary_subsystem_2,binary_subsystem_2_available,binary_subsystem_3,binary_subsystem_3_available
smiles:CC(=O)O || smiles:CN1CCCC1=O || smiles:O,smiles:CC(=O)O,smiles:CN1CCCC1=O,smiles:O,2,2/3,smiles:CC(=O)O || smiles:CN1CCCC1=O,True,smiles:CC(=O)O || smiles:O,True,smiles:CN1CCCC1=O || smiles:O,False
smiles:CC(=O)O || smiles:CNC(C)=O || smiles:O,smiles:CC(=O)O,smiles:CNC(C)=O,smiles:O,2,2/3,smiles:CC(=O)O || smiles:CNC(C)=O,True,smiles:CC(=O)O || smiles:O,True,smiles:CNC(C)=O || smiles:O,False
smiles:CC(=O)OCC(C)C || smiles:CC(C)CO || smiles:CCCCCCO,smiles:CC(=O)OCC(C)C,smiles:CC(C)CO,smiles:CCCCCCO,2,2/3,smiles:CC(=O)OCC(C)C || smiles:CC(C)CO,False,smiles:CC(=O)OCC(C)C || smiles:CCCCCCO,True,smiles:CC(C)CO || smiles:CCCCCCO,True
smiles:CC(=O)OCC(C)C || smiles:CC(C)CO || smiles:CCCCOC(=O)CC,smiles:CC(=O)OCC(C)C,smiles:CC(C)CO,smiles:CCCCOC(=O)CC,2,2/3,smiles:CC(=O)OCC(C)C || smiles:CC(C)CO,False,smiles:CC(=O)OCC(C)C || smiles:CCCCOC(=O)CC,True,smiles:CC(C)CO || smiles:CCCCOC(=O)CC,True
smiles:CC(=O)OCC(C)C || smiles:CC(C)CO || smiles:CN(C)C=O,smiles:CC(=O)OCC(C)C,smiles:CC(C)CO,smiles:CN(C)C=O,2,2/3,smiles:CC(=O)OCC(C)C || smiles:CC(C)CO,False,smiles:CC(=O)OCC(C)C || smiles:CN(C)C=O,True,smiles:CC(C)CO || smiles:CN(C)C=O,True
smiles:CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO || smiles:CN1CCC[C@H]1c1cccnc1 || smiles:O=C=O,smiles:CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO,smiles:CN1CCC[C@H]1c1cccnc1,smiles:O=C=O,2,2/3,smiles:CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO || smiles:CN1CCC[C@H]1c1cccnc1,False,smiles:CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO || smiles:O=C=O,True,smiles:CN1CCC[C@H]1c1cccnc1 || smiles:O=C=O,True
smiles:CC(C)O || smiles:CCCOC(C)=O || smiles:O,smiles:CC(C)O,smiles:CCCOC(C)=O,smiles:O,2,2/3,smiles:CC(C)O || smiles:CCCOC(C)=O,True,smiles:CC(C)O || smiles:O,True,smiles:CCCOC(C)=O || smiles:O,False
smiles:CCC(C)O || smiles:CCC(C)OC(C)=O || smiles:CN(C)C=O,smiles:CCC(C)O,smiles:CCC(C)OC(C)=O,smiles:CN(C)C=O,2,2/3,smiles:CCC(C)O || smiles:CCC(C)OC(C)=O,False,smiles:CCC(C)O || smiles:CN(C)C=O,True,smiles:CCC(C)OC(C)=O || smiles:CN(C)C=O,True
smiles:CCC(C)O || smiles:CCC(C)OC(C)=O || smiles:CS(C)=O,smiles:CCC(C)O,smiles:CCC(C)OC(C)=O,smiles:CS(C)=O,2,2/3,smiles:CCC(C)O || smiles:CCC(C)OC(C)=O,False,smiles:CCC(C)O || smiles:CS(C)=O,True,smiles:CCC(C)OC(C)=O || smiles:CS(C)=O,True
smiles:CCCCOC(C)(C)C || smiles:CCO || smiles:O,smiles:CCCCOC(C)(C)C,smiles:CCO,smiles:O,2,2/3,smiles:CCCCOC(C)(C)C || smiles:CCO,True,smiles:CCCCOC(C)(C)C || smiles:O,False,smiles:CCO || smiles:O,True
