component_id,canonical_smiles,inchikey,representative_original_name,representative_formula,representative_raw_smiles,dataset_membership,record_occurrences,binary_record_occurrences,ternary_record_occurrences,unique_systems,identity_methods,has_parseable_smiles,raw_missing_smiles_occurrences,raw_smiles_parse_failures,name_variants,formula_variants
smiles:CC1=CC[C@@H]2[C@H](C1)C2(C)C,CC1=CC[C@@H]2[C@H](C1)C2(C)C,BQOFWKZOCNGFEC-BDAKNGLRSA-N,(+)-3-蒈烯,C10H16,CC1=CC[C@@H]2[C@H](C1)C2(C)C,Binary only,23,23,0,1,canonical_smiles,True,0,0,1,1
smiles:CC1CCCC1,CC1CCCC1,GDOPTJXRTPNYNR-UHFFFAOYSA-N,甲基环戊烷,C6H12,CC1CCCC1,Binary only,23,23,0,2,canonical_smiles,True,0,0,1,1
smiles:CC1CCCCC1,CC1CCCCC1,UAEPNZWRGJTJPN-UHFFFAOYSA-N,甲基环己烷,C7H14,CC1CCCCC1,Shared,192,131,61,7,canonical_smiles,True,0,0,1,1
smiles:CCC,CCC,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,丙烷,C3H8,CCC,Shared,714,694,20,12,canonical_smiles,True,0,0,1,1
smiles:CCC#CCC,CCC#CCC,DQQNMIPXXNPGCV-UHFFFAOYSA-N,3-己炔,C6H10,CCC#CCC,Binary only,88,88,0,1,canonical_smiles,True,0,0,1,1
smiles:CCC#N,CCC#N,FVSKHRXBFJPNKK-UHFFFAOYSA-N,丙腈,C3H5N,CCC#N,Binary only,103,103,0,4,canonical_smiles,True,0,0,1,1
smiles:CCC(=O)O,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,丙酸,C3H6O2,CCC(=O)O,Binary only,222,222,0,6,canonical_smiles,True,0,0,1,1
smiles:CCC(=O)OC,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,丙酸甲酯,C4H8O2,CCC(=O)OC,Shared,91,58,33,3,canonical_smiles,True,0,0,1,1
smiles:CCC(=O)OC(C)C,CCC(=O)OC(C)C,IJMWOMHMDSDKGK-UHFFFAOYSA-N,丙酸异丙酯,C6H12O2,CCC(=O)OC(C)C,Binary only,36,36,0,2,canonical_smiles,True,0,0,1,1
smiles:CCC(=O)OCCC(C)C,CCC(=O)OCCC(C)C,XAOGXQMKWQFZEM-UHFFFAOYSA-N,异戊酸异戊酯,C8H16O2,CCC(=O)OCCC(C)C,Binary only,66,66,0,2,canonical_smiles,True,0,0,1,1
smiles:CCC(C)(C)O,CCC(C)(C)O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-甲基-2-丁醇,C5H12O,CCC(C)(C)O,Binary only,15,15,0,1,canonical_smiles,True,0,0,1,1
smiles:CCC(C)(C)OC,CCC(C)(C)OC,HVZJRWJGKQPSFL-UHFFFAOYSA-N,2-甲氧基-2-甲基丁烷,C6H14O,CCC(C)(C)OC,Binary only,27,27,0,1,canonical_smiles,True,0,0,1,1
smiles:CCC(C)=O,CCC(C)=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,丁酮,C4H8O,CCC(=O)C,Shared,380,183,197,12,canonical_smiles,True,0,0,1,1
smiles:CCC(C)C,CCC(C)C,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-甲基丁烷,C5H12,CCC(C)C,Binary only,20,20,0,1,canonical_smiles,True,0,0,1,1
smiles:CCC(C)CC,CCC(C)CC,PFEOZHBOMNWTJB-UHFFFAOYSA-N,3-甲基戊烷,C6H14,CCC(C)CC,Binary only,75,75,0,2,canonical_smiles,True,0,0,1,1
smiles:CCC(C)Cl,CCC(C)Cl,BSPCSKHALVHRSR-UHFFFAOYSA-N,2-氯丁烷,C4H9Cl,CCC(C)Cl,Binary only,327,327,0,6,canonical_smiles,True,0,0,1,1
smiles:CCC(C)O,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,2-丁醇,C4H10O,CCC(C)O,Shared,520,476,44,16,canonical_smiles,True,0,0,1,1
smiles:CCC(C)OC(C)=O,CCC(C)OC(C)=O,DCKVNWZUADLDEH-UHFFFAOYSA-N,乙酸仲丁酯,C6H12O2,CCC(C)OC(=O)C,Shared,146,102,44,7,canonical_smiles,True,0,0,1,1
smiles:CCC(O)CC,CCC(O)CC,AQIXEPGDORPWBJ-UHFFFAOYSA-N,3-戊醇,C5H12O,CCC(CC)O,Binary only,26,26,0,1,canonical_smiles,True,0,0,1,1
smiles:CCC=C(C)C,CCC=C(C)C,JMMZCWZIJXAGKW-UHFFFAOYSA-N,2-甲基-2-戊烯,C6H12,CCC=C(C)C,Binary only,13,13,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCC,CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N,丁烷,C4H10,CCCC,Binary only,692,692,0,14,canonical_smiles,True,0,0,1,1
smiles:CCCC(=O)O,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,丁酸,C4H8O2,CCCC(=O)O,Binary only,150,150,0,3,canonical_smiles,True,0,0,1,1
smiles:CCCC(=O)OCC,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N,丁酸乙酯,C6H12O2,CCCC(=O)OCC,Binary only,23,23,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCC(=O)OCC1CO1,CCCC(=O)OCC1CO1,YLNSNVGRSIOCEU-UHFFFAOYSA-N,丁二酸缩水甘油酯,C7H12O3,CCCC(=O)OCC1CO1,Binary only,52,52,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCC(C)=O,CCCC(C)=O,XNLICIUVMPYHGG-UHFFFAOYSA-N,2-戊酮,C5H10O,CCCC(=O)C,Binary only,35,35,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCC(C)C,CCCC(C)C,AFABGHUZZDYHJO-UHFFFAOYSA-N,2-甲基戊烷,C6H14,CCCC(C)C,Binary only,11,11,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCC(C)O,CCCC(C)O,JYVLIDXNZAXMDK-UHFFFAOYSA-N,2-戊醇,C5H12O,CCCC(C)O,Shared,267,212,55,10,canonical_smiles,True,0,0,1,1
smiles:CCCCC,CCCCC,OFBQJSOFQDEBGM-UHFFFAOYSA-N,戊烷,C5H12,CCCCC,Binary only,195,195,0,6,canonical_smiles,True,0,0,1,1
smiles:CCCCC(CC)CO,CCCCC(CC)CO,YIWUKEYIRIRTPP-UHFFFAOYSA-N,2-乙基-1-己醇,C8H18O,CCCCC(CC)CO,Binary only,28,28,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCC1CCCCC1,CCCCC1CCCCC1,GGBJHURWWWLEQH-UHFFFAOYSA-N,丁基环己烷,C10H20,CCCCC1CCCCC1,Binary only,21,21,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCC,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,正己烷,C6H14,CCCCCC,Shared,488,331,157,13,canonical_smiles,True,0,0,1,1
smiles:CCCCCC(=O)O,CCCCCC(=O)O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,己酸,C6H12O2,CCCCCC(=O)O,Binary only,33,33,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCC=O,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,己醛,C6H12O,CCCCCC=O,Binary only,16,16,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCC,CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,正庚烷,C7H16,CCCCCCC,Binary only,1098,1098,0,29,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCC,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,正辛烷,C8H18,CCCCCCCC,Shared,401,281,120,13,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,辛酸甲酯,C9H18O2,CCCCCCCC(=O)OC,Binary only,39,39,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCC/C=C\CCCCCCCC(=O)OC,CCCCCCCC/C=C\CCCCCCCC(=O)OC,QYDYPVFESGNLHU-KHPPLWFESA-N,顺式油酸甲酯,C19H36O2,CCCCCCCC/C=C\CCCCCCCC(=O)OC,Binary only,9,9,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,PHYFQTYBJUILEZ-IUPFWZBJSA-N,三油酸甘油酯,C57H104O6,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,Binary only,21,21,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCC,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,正壬烷,C9H20,CCCCCCCCC,Binary only,296,296,0,12,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCC,CCCCCCCCCC,DIOQZVSQGTUSAI-UHFFFAOYSA-N,正癸烷,C10H22,CCCCCCCCCC,Binary only,166,166,0,10,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCC(=O)OC,CCCCCCCCCC(=O)OC,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,癸酸甲酯,C11H22O2,CCCCCCCCCC(=O)OC,Binary only,78,78,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCC,CCCCCCCCCCC,RSJKGSCJYJTIGS-UHFFFAOYSA-N,十一烷,C11H24,CCCCCCCCCCC,Binary only,86,86,0,4,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCC,CCCCCCCCCCCC,SNRUBQQJIBEYMU-UHFFFAOYSA-N,十二烷,C12H26,CCCCCCCCCCCC,Binary only,10,10,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCC(=O)OC,CCCCCCCCCCCC(=O)OC,UQDUPQYQJKYHQI-UHFFFAOYSA-N,十二酸甲酯,C13H26O2,CCCCCCCCCCCC(=O)OC,Binary only,59,59,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCC(=O)OCC,MMXKVMNBHPAILY-UHFFFAOYSA-N,十二酸乙酯,C14H28O2,CCCCCCCCCCCC(=O)OCC,Binary only,22,22,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,BGHCVCJVXZWKCC-UHFFFAOYSA-N,十四烷,C14H30,CCCCCCCCCCCCCC,Binary only,13,13,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,肉豆蔻酸,C14H28O2,CCCCCCCCCCCCCC(=O)O,Binary only,22,22,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCC(=O)OC,CCCCCCCCCCCCCC(=O)OC,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,肉豆蔻酸甲酯,C15H30O2,CCCCCCCCCCCCCC(=O)OC,Binary only,93,93,0,5,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCCCC(=O)OCC,MMKRHZKQPFCLLS-UHFFFAOYSA-N,十四酸乙酯,C16H32O2,CCCCCCCCCCCCCC(=O)OCC,Binary only,19,19,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,YCOZIPAWZNQLMR-UHFFFAOYSA-N,十五烷,C15H32,CCCCCCCCCCCCCCC,Binary only,11,11,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,DCAYPVUWAIABOU-UHFFFAOYSA-N,十六烷,C16H34,CCCCCCCCCCCCCCCC,Binary only,26,26,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,棕榈酸,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,Binary only,21,21,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCCCC(=O)OC,CCCCCCCCCCCCCCCC(=O)OC,FLIACVVOZYBSBS-UHFFFAOYSA-N,棕榈酸甲酯,C17H34O2,CCCCCCCCCCCCCCCC(=O)OC,Binary only,38,38,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,硬脂酸,C18H36O2,CCCCCCCCCCCCCCCCCC(=O)O,Binary only,21,21,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCCO,CCCCCCCCCCCCO,LQZZUXJYWNFBMV-UHFFFAOYSA-N,1-十二醇,C12H26O,CCCCCCCCCCCCO,Binary only,47,47,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCCCCO,CCCCCCCCCCCO,KJIOQYGWTQBHNH-UHFFFAOYSA-N,1-十一醇,C11H24O,CCCCCCCCCCCO,Binary only,120,120,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCCO,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1-辛醇,C8H18O,CCCCCCCCO,Binary only,59,59,0,4,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCO,CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,1-庚醇,C7H16O,CCCCCCCO,Binary only,52,52,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCCCl,CCCCCCCl,MLRVZFYXUZQSRU-UHFFFAOYSA-N,1-氯己烷,C6H13Cl,CCCCCCCl,Binary only,117,117,0,4,canonical_smiles,True,0,0,1,1
smiles:CCCCCCO,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,1-己醇,C6H14O,CCCCCCO,Shared,316,274,42,14,canonical_smiles,True,0,0,1,1
smiles:CCCCCCl,CCCCCCl,SQCZQTSHSZLZIQ-UHFFFAOYSA-N,1-氯戊烷,C5H11Cl,CCCCCCl,Binary only,246,246,0,6,canonical_smiles,True,0,0,1,1
smiles:CCCCCO,CCCCCO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,1-戊醇,C5H12O,CCCCCO,Shared,466,413,53,16,canonical_smiles,True,0,0,1,1
smiles:CCCCCOC=O,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,甲酸正戊酯,C6H12O2,CCCCCOC=O,Binary only,65,65,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCS,CCCCCS,ZRKMQKLGEQPLNS-UHFFFAOYSA-N,1-戊硫醇,C5H12S,CCCCCS,Binary only,19,19,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCCl,CCCCCl,VFWCMGCRMGJXDK-UHFFFAOYSA-N,1-氯丁烷,C4H9Cl,CCCCCl,Binary only,412,412,0,9,canonical_smiles,True,0,0,1,1
smiles:CCCCO,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,1-丁醇,C4H10O,CCCCO,Shared,734,528,206,23,canonical_smiles,True,0,0,1,1
smiles:CCCCOC(=O)C(C)O,CCCCOC(=O)C(C)O,MRABAEUHTLLEML-UHFFFAOYSA-N,L-乳酸丁酯,C7H14O3,CCCCOC(=O)C(C)O,Binary only,26,26,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCOC(=O)CC,CCCCOC(=O)CC,BTMVHUNTONAYDX-UHFFFAOYSA-N,丙酸正丁酯,C7H14O2,CCCCOC(=O)CC,Shared,100,58,42,4,canonical_smiles,True,0,0,1,1
smiles:CCCCOC(C)(C)C,CCCCOC(C)(C)C,JJNQHLLBFBGKEL-UHFFFAOYSA-N,1-(叔丁氧基)丁烷,C8H18O,CCCCOC(C)(C)C,Shared,196,54,142,4,canonical_smiles,True,0,0,1,1
smiles:CCCCOC(C)=O,CCCCOC(C)=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,乙酸正丁酯,C6H12O2,CCCCOC(=O)C,Binary only,99,99,0,5,canonical_smiles,True,0,0,1,1
smiles:CCCCOC=O,CCCCOC=O,NMJJFJNHVMGPGM-UHFFFAOYSA-N,甲酸正丁酯,C5H10O2,CCCCOC=O,Binary only,205,205,0,6,canonical_smiles,True,0,0,1,1
smiles:CCCCOCC,CCCCOCC,PZHIWRCQKBBTOW-UHFFFAOYSA-N,乙基丁基醚,C6H14O,CCCCOCC,Binary only,138,138,0,4,canonical_smiles,True,0,0,1,1
smiles:CCCCOCCCC,CCCCOCCCC,DURPTKYDGMDSBL-UHFFFAOYSA-N,二丁醚,C8H18O,CCCCOCCCC,Binary only,61,61,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCOCCO,CCCCOCCO,POAOYUHQDCAZBD-UHFFFAOYSA-N,2-丁氧基乙醇,C6H14O2,CCCCOCCO,Binary only,15,15,0,1,canonical_smiles,True,0,0,1,1
smiles:CCCCS,CCCCS,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-丁硫醇,C4H10S,CCCCS,Binary only,28,28,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCc1ccccc1,CCCCc1ccccc1,OCKPCBLVNKHBMX-UHFFFAOYSA-N,正丁苯,C10H14,CCCCC1=CC=CC=C1,Binary only,34,34,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCCl,CCCCl,SNMVRZFUUCLYTO-UHFFFAOYSA-N,1-氯丙烷,C3H7Cl,CCCCl,Binary only,143,143,0,5,canonical_smiles,True,0,0,1,1
smiles:CCCO,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,1-丙醇,C3H8O,CCCO,Shared,922,751,171,29,canonical_smiles,True,0,0,1,1
smiles:CCCOC(C)=O,CCCOC(C)=O,YKYONYBAUNKHLG-UHFFFAOYSA-N,乙酸正丙酯,C5H10O2,CCCOC(=O)C,Shared,655,593,62,14,canonical_smiles,True,0,0,1,1
smiles:CCCOC=O,CCCOC=O,KFNNIILCVOLYIR-UHFFFAOYSA-N,甲酸正丙酯,C4H8O2,CCCOC=O,Binary only,137,137,0,5,canonical_smiles,True,0,0,1,1
smiles:CCCOCCC,CCCOCCC,POLCUAVZOMRGSN-UHFFFAOYSA-N,二丙醚,C6H14O,CCCOCCC,Shared,167,85,82,5,canonical_smiles,True,0,0,1,1
smiles:CCCOCCO,CCCOCCO,YEYKMVJDLWJFOA-UHFFFAOYSA-N,2-丙氧基乙醇,C5H12O2,CCCOCCO,Binary only,78,78,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCOCOC,CCCOCOC,XDEBEEKYERBCBM-UHFFFAOYSA-N,1-(甲氧基甲氧基)丙烷,C5H12O2,CCCOCOC,Binary only,56,56,0,2,canonical_smiles,True,0,0,1,1
smiles:CCCOCOCC,CCCOCOCC,SWQFQRIECLCLQG-UHFFFAOYSA-N,1-(乙氧基甲氧基)丙烷,C6H14O2,CCCOCOCC,Binary only,49,49,0,2,canonical_smiles,True,0,0,1,1
smiles:CCF,CCF,UHCBBWUQDAVSMS-UHFFFAOYSA-N,氟乙烷,C2H5F,CCF,Binary only,408,408,0,5,canonical_smiles,True,0,0,1,1
smiles:CCI,CCI,HVTICUPFWKNHNG-UHFFFAOYSA-N,碘乙烷,C2H5I,CCI,Binary only,49,49,0,3,canonical_smiles,True,0,0,1,1
smiles:CCN(CC)CCCO,CCN(CC)CCCO,WKCYFSZDBICRKL-UHFFFAOYSA-N,3-二乙氨基-1-丙醇,C7H17NO,CCN(CC)CCCO,Binary only,44,44,0,1,canonical_smiles,True,0,0,1,1
smiles:CCO,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,乙醇,C2H6O,CCO,Shared,2717,1442,1275,64,canonical_smiles,True,0,0,1,1
smiles:CCOC(=O)C(C)C,CCOC(=O)C(C)C,WDAXFOBOLVPGLV-UHFFFAOYSA-N,2-甲基丙酸乙酯,C6H12O2,CCOC(=O)C(C)C,Binary only,142,142,0,2,canonical_smiles,True,0,0,1,1
smiles:CCOC(=O)C(C)CC,CCOC(=O)C(C)CC,HCRBXQFHJMCTLF-UHFFFAOYSA-N,2-甲基丁酸乙酯,C7H14O2,CCC(C)C(=O)OCC,Binary only,19,19,0,1,canonical_smiles,True,0,0,1,1
smiles:CCOC(=O)C(F)(F)F,CCOC(=O)C(F)(F)F,STSCVKRWJPWALQ-UHFFFAOYSA-N,三氟乙酸乙酯,C4H5F3O2,CCOC(=O)C(F)(F)F,Binary only,32,32,0,1,canonical_smiles,True,0,0,1,1
smiles:CCOC(=O)CC,CCOC(=O)CC,FKRCODPIKNYEAC-UHFFFAOYSA-N,丙酸乙酯,C5H10O2,CCC(=O)OCC,Shared,510,146,364,9,canonical_smiles,True,0,0,1,1
smiles:CCOC(=O)OCC,CCOC(=O)OCC,OIFBSDVPJOWBCH-UHFFFAOYSA-N,碳酸二乙酯,C5H10O3,CCOC(=O)OCC,Shared,285,241,44,10,canonical_smiles,True,0,0,1,1
smiles:CCOC(=O)[C@H](C)O,CCOC(=O)[C@H](C)O,LZCLXQDLBQLTDK-BYPYZUCNSA-N,(S)-(-)-乳酸乙酯,C5H10O3,CCOC(=O)[C@H](C)O,Binary only,36,36,0,1,canonical_smiles,True,0,0,1,1
smiles:CCOC(C)(C)C,CCOC(C)(C)C,NUMQCACRALPSHD-UHFFFAOYSA-N,2-乙氧基-2-甲基丙烷,C6H14O,CCOC(C)(C)C,Binary only,126,126,0,3,canonical_smiles,True,0,0,1,1
smiles:CCOC(C)(C)CC,CCOC(C)(C)CC,KFRVYYGHSPLXSZ-UHFFFAOYSA-N,"乙基-1,1-二甲基丙基醚",C7H16O,CCC(C)(C)OCC,Shared,245,52,193,4,canonical_smiles,True,0,0,1,1
smiles:CCOC(C)=O,CCOC(C)=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,乙酸乙酯,C4H8O2,CCOC(=O)C,Shared,509,287,222,18,canonical_smiles,True,0,0,1,1
smiles:CCOC=O,CCOC=O,WBJINCZRORDGAQ-UHFFFAOYSA-N,甲酸乙酯,C3H6O2,CCOC=O,Binary only,134,134,0,5,canonical_smiles,True,0,0,1,1
smiles:CCOCC(C)O,CCOCC(C)O,JOLQKTGDSGKSKJ-UHFFFAOYSA-N,1-乙氧基-2-丙醇,C5H12O2,CCOCC(C)O,Binary only,56,56,0,3,canonical_smiles,True,0,0,1,1
smiles:CCOCCO,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,2-乙氧基乙醇,C4H10O2,CCOCCO,Shared,334,155,179,7,canonical_smiles,True,0,0,1,1
smiles:CCSCC,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N,3-硫杂戊烷,C4H10S,CCSCC,Binary only,279,279,0,11,canonical_smiles,True,0,0,1,1
smiles:CCSSCC,CCSSCC,CETBSQOFQKLHHZ-UHFFFAOYSA-N,"3,4-二硫杂己烷",C4H10S2,CCSSCC,Binary only,10,10,0,1,canonical_smiles,True,0,0,1,1
smiles:CC[N+](=O)[O-],CC[N+](=O)[O-],MCSAJNNLRCFZED-UHFFFAOYSA-N,硝基乙烷,C2H5NO2,CC[N+](=O)[O-],Binary only,170,170,0,4,canonical_smiles,True,0,0,1,1
smiles:CCc1ccc(C)cc1,CCc1ccc(C)cc1,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,1-乙基-4-甲基苯,C9H12,CCC1=CC=C(C=C1)C,Binary only,15,15,0,1,canonical_smiles,True,0,0,1,1
smiles:CCc1cccc(C)c1,CCc1cccc(C)c1,ZLCSFXXPPANWQY-UHFFFAOYSA-N,1-乙基-3-甲基苯,C9H12,CCC1=CC=CC(=C1)C,Binary only,16,16,0,1,canonical_smiles,True,0,0,1,1
smiles:CCc1ccccc1,CCc1ccccc1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,乙苯,C8H10,CCC1=CC=CC=C1,Binary only,39,39,0,3,canonical_smiles,True,0,0,1,1
smiles:CCc1cccs1,CCc1cccs1,JCCCMAAJYSNBPR-UHFFFAOYSA-N,2-乙基噻吩,C6H8S,CCC1=CC=CS1,Binary only,56,56,0,3,canonical_smiles,True,0,0,1,1
smiles:CN(C)C=O,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,"N,N-二甲基甲酰胺",C3H7NO,CN(C)C=O,Shared,267,193,74,13,canonical_smiles,True,0,0,1,1
smiles:CN(C)CCCO,CN(C)CCCO,PYSGFFTXMUWEOT-UHFFFAOYSA-N,3-二甲氨基-1-丙醇,C5H13NO,CN(C)CCCO,Binary only,43,43,0,1,canonical_smiles,True,0,0,1,1
smiles:CN1CCCC1=O,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,N-甲基吡咯烷酮,C5H9NO,CN1CCCC1=O,Shared,158,122,36,10,canonical_smiles,True,0,0,1,1
smiles:CN1CCC[C@H]1c1cccnc1,CN1CCC[C@H]1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N,(-)-3-(N-甲基吡咯烷基)吡啶,C10H14N2,CN1CCC[C@H]1C2=CN=CC=C2,Shared,14,5,9,2,canonical_smiles,True,0,0,1,1
smiles:CNC(C)=O,CNC(C)=O,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-甲基乙酰胺,C3H7NO,CC(=O)NC,Shared,44,29,15,2,canonical_smiles,True,0,0,1,1
smiles:CNC=O,CNC=O,ATHHXGZTWNVVOU-UHFFFAOYSA-N,N-甲基甲酰胺,C2H5NO,CNC=O,Binary only,36,36,0,2,canonical_smiles,True,0,0,1,1
smiles:CO,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,甲醇,CH4O,CO,Shared,2159,1054,1105,53,canonical_smiles;name_formula_linked_to_smiles,True,1105,0,1,1
smiles:COC,COC,LCGLNKUTAGEVQW-UHFFFAOYSA-N,dimethyl ether,C2H6O,COC,Binary only,352,352,0,6,canonical_smiles,True,0,0,1,1
smiles:COC(=O)CCC(=O)OC,COC(=O)CCC(=O)OC,MUXOBHXGJLMRAB-UHFFFAOYSA-N,丁二酸二甲酯,C6H10O4,COC(=O)CCC(=O)OC,Binary only,90,90,0,2,canonical_smiles,True,0,0,1,1
smiles:COC(=O)CCCC(=O)OC,COC(=O)CCCC(=O)OC,XTDYIOOONNVFMA-UHFFFAOYSA-N,戊二酸二甲酯,C7H12O4,COC(=O)CCCC(=O)OC,Binary only,105,105,0,2,canonical_smiles,True,0,0,1,1
smiles:COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,UDSFAEKRVUSQDD-UHFFFAOYSA-N,己二酸二甲酯,C8H14O4,COC(=O)CCCCC(=O)OC,Binary only,105,105,0,2,canonical_smiles,True,0,0,1,1
smiles:COC(=O)OC,COC(=O)OC,IEJIGPNLZYLLBP-UHFFFAOYSA-N,碳酸二甲酯,C3H6O3,COC(=O)OC,Shared,660,298,362,16,canonical_smiles,True,0,0,1,1
smiles:COC(=O)Oc1ccccc1,COC(=O)Oc1ccccc1,XTBFPVLHGVYOQH-UHFFFAOYSA-N,碳酸甲酯苯酯,C8H8O3,COC(=O)OC1=CC=CC=C1,Binary only,44,44,0,2,canonical_smiles,True,0,0,1,1
