dataset,rank,system_id,system_label,data_points
Binary,147,smiles:CCC(=O)OC || smiles:[C-]#[O+],丙酸甲酯 / 一氧化碳,45
Binary,148,smiles:C=C(F)C(F)(F)F || smiles:CC(F)(F)F,"2,3,3,3-四氟-1-丙烯 / 1,1,1-三氟乙烷",45
Binary,149,smiles:CCN(CC)CCCO || smiles:O,3-二乙氨基-1-丙醇 / 水,44
Binary,150,smiles:CC[N+](=O)[O-] || smiles:ClCCCl,"硝基乙烷 / 1,2-二氯乙烷",44
Binary,151,smiles:O=C1OC(=O)c2cc(Cl)ccc21 || smiles:O=C1OC(=O)c2cc(F)ccc21,"4-氯邻苯二甲酸酐 / 5-氟-1,3-异苯并呋喃二酮",44
Binary,152,smiles:C=C(F)C(F)(F)F || smiles:CC(F)(F)C(F)(F)F,"2,3,3,3-四氟-1-丙烯 / 1,1,1,2,2-五氟丙烷",44
Binary,153,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,"1,1,1-三氟-2-丙烯 / 1,1,1,2-四氟乙烷",44
Binary,154,smiles:CC#N || smiles:CO,乙腈 / 甲醇,43
Binary,155,smiles:CCCC || smiles:FC(F)F,丁烷 / 三氟甲烷,43
Binary,156,smiles:CCCCCC || smiles:O=C=O,正己烷 / 二氧化碳,43
Binary,157,smiles:CCCO || smiles:CCO,1-丙醇 / 乙醇,43
Binary,158,smiles:CN(C)CCCO || smiles:O,3-二甲氨基-1-丙醇 / 水,43
Binary,159,smiles:CC(Cl)(Cl)Cl || smiles:O=C1CCCCC1,"1,1,1-三氯乙烷 / 环己酮",42
Binary,160,smiles:CCCO || smiles:CCCOCCC,1-丙醇 / 二丙醚,42
Binary,161,smiles:CCCCO || smiles:CCCCOCCCC,1-丁醇 / 二丁醚,42
Binary,162,smiles:CCCCCl || smiles:CC[N+](=O)[O-],1-氯丁烷 / 硝基乙烷,42
Binary,163,smiles:CCCCCCl || smiles:C[N+](=O)[O-],1-氯戊烷 / 硝基甲烷,42
Binary,164,smiles:CCCCCCCCCCC || smiles:O=C=O,十一烷 / 二氧化碳,42
Binary,165,smiles:CCC(=O)O || smiles:CCC(=O)OCCC(C)C,丙酸 / 异戊酸异戊酯,42
Binary,166,smiles:CC1CCCCC1 || smiles:CCOCCO,甲基环己烷 / 2-乙氧基乙醇,42
Binary,167,smiles:C1COCO1 || smiles:CCCCCCl,"1,3-二噁戊环 / 1-氯戊烷",42
Binary,168,smiles:CC(C)CC(C)(C)C || smiles:CCO,异辛烷 / 乙醇,42
Binary,169,smiles:CC(C)C(=O)C(C)C || smiles:CC(C)CC(C)(C)C,"2,4-二甲基-3-戊酮 / 异辛烷",42
Binary,170,smiles:C1COCCO1 || smiles:CCCCCCl,"1,4-二噁烷 / 1-氯戊烷",42
Binary,171,smiles:C1COCCO1 || smiles:CCC(C)O,"1,4-二噁烷 / 2-丁醇",42
Binary,172,smiles:C1CCOC1 || smiles:CCCCCCl,四氢呋喃 / 1-氯戊烷,42
Binary,173,fallback:f5d528f59fc9b38a || smiles:O,"1,8-二氮杂双环[5.4.0]十一碳-7-烯 / 水",42
Binary,174,fallback:d9df4fd9b4b52f0e || smiles:O=Cc1ccccc1,(E)-3-苯基-2-丙烯醛 / 苯甲醛,42
Binary,175,smiles:CC(C)OCCO || smiles:O=C=O,2-异丙氧基乙醇 / 二氧化碳,41
Binary,176,smiles:COCC(C)O || smiles:O,1-甲氧基-2-丙醇 / 水,41
Binary,177,smiles:CC(C)O || smiles:CC(C)OC(C)C,2-丙醇 / 二异丙醚,41
Binary,178,smiles:CC || smiles:FC(F)F,乙烷 / 三氟甲烷,41
Binary,179,smiles:CC(C)C(C)C || smiles:CC(C)OC(C)C,"2,3-二甲基丁烷 / 二异丙醚",41
Binary,180,smiles:CCCCCCCC || smiles:CCCOCCO,正辛烷 / 2-丙氧基乙醇,40
Binary,181,smiles:F/C=C/C(F)(F)F || smiles:FCC(F)(F)F,"反式-1,3,3,3-四氟丙烯 / 1,1,1,2-四氟乙烷",40
Binary,182,smiles:F/C=C/C(F)(F)F || smiles:FC(F)C(F)F,"反式-1,3,3,3-四氟丙烯 / 1,1,2,2-四氟乙烷",40
Binary,183,smiles:Cl[SiH2]Cl || smiles:Cl[SiH](Cl)Cl,二氯氢硅 / 三氯氢硅,40
Binary,184,smiles:Cc1ccccc1 || smiles:c1ccccc1,甲苯 / 苯,40
Binary,185,smiles:CCCC || smiles:FC(F)=C(F)C(F)(F)F,丁烷 / 六氟丙烯,40
Binary,186,smiles:CCCC || smiles:CCSCC,丁烷 / 3-硫杂戊烷,40
Binary,187,smiles:CCC(C)=O || smiles:CCO,丁酮 / 乙醇,40
