component_count,direction,model,nonphysical_rate_mean,nonphysical_rate_std,pressure_mae_kpa_mean,pressure_mae_kpa_std,pressure_r2_mean,pressure_r2_std,pressure_rmse_kpa_mean,pressure_rmse_kpa_std,pressure_system_macro_mae_kpa_mean,pressure_system_macro_mae_kpa_std,pressure_system_macro_rmse_kpa_mean,pressure_system_macro_rmse_kpa_std,protocol,seeds,solver_failure_rate_mean,solver_failure_rate_std,system_parameter_coverage_mean,system_parameter_coverage_std,temperature_mae_k_mean,temperature_mae_k_std,temperature_r2_mean,temperature_r2_std,temperature_rmse_k_mean,temperature_rmse_k_std,temperature_system_macro_mae_k_mean,temperature_system_macro_mae_k_std,temperature_system_macro_rmse_k_mean,temperature_system_macro_rmse_k_std,valid_coverage_mean,valid_coverage_std,y_mae_mean,y_mae_std,y_r2_mean,y_r2_std,y_rmse_mean,y_rmse_std,y_system_macro_mae_mean,y_system_macro_mae_std,y_system_macro_rmse_mean,y_system_macro_rmse_std
2,isobaric,thermoformer_c1_fugacity,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.0,0.0,1.0,0.0,0.5731301209000493,0.03686732116922474,0.9989587109704703,0.00017978543321764965,0.8446313900564608,0.07078731521862588,0.6172237058098353,0.04661467687712994,0.889372490028715,0.08677109735586234,1.0,0.0,0.01299942993892283,0.0008324700242130671,0.9950412720194542,0.0005556604819110817,0.019177729834506867,0.0010766801876359873,0.01371783718200254,0.000765620439559286,0.020080191867909877,0.0010948177691646526
3,isobaric,thermoformer_c1_fugacity,0.0,0.0,,,,,,,,,,,state_composition_interpolation,5,0.0,0.0,1.0,0.0,0.5983167958361058,0.04279911389930211,0.9986138880569196,0.0001767348746241393,0.8988850684793064,0.05680030440339722,0.6411381965919786,0.05164058297837425,0.9387372873266667,0.08410897236962761,1.0,0.0,0.02593523215527388,0.0012848813382487312,0.9340679598513256,0.0024365986502862987,0.05454801732720701,0.0010016925719952452,0.0301487121879061,0.0011345656305166477,0.0633306582032774,0.0012565314840141029
,isothermal,nrtl,0.0,0.0,1.063924710645363,0.0,0.9976976802879204,0.0,3.8345852299239,0.0,1.15651510081256,0.0,4.21063485900203,0.0,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.007303569682082977,0.0,0.998277556636203,0.0,0.017439401594065304,0.0,0.007914130478701277,0.0,0.019653072652562005,0.0
2,isothermal,nrtl,0.0,0.0,1.1707733414715016,0.0,0.9976651583403277,0.0,4.373844410742638,0.0,1.2130155118122214,0.0,4.476387915126346,0.0,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.006219681728352825,0.0,0.9986620670093498,0.0,0.016649725520775593,0.0,0.0075947940647257,0.0,0.01966627530994849,0.0
3,isothermal,nrtl,0.0,0.0,0.7580705049055417,0.0,0.9950742424827723,0.0,1.4259279513970702,0.0,0.775137326564847,0.0,1.4650517644887122,0.0,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.009371989193784683,0.0,0.9964414620182536,0.0,0.01885480987190679,0.0,0.010069651273036426,0.0,0.01956372166787725,0.0
,isobaric,nrtl,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.03023758099352052,0.0,1.0,0.0,4.054139518340281,0.0,0.6365189895430348,0.0,18.458685519625707,0.0,6.25878287114606,0.0,24.231542022381213,0.0,0.9697624190064795,0.0,0.036779486283267444,0.0,0.9456801194438775,0.0,0.0946535694960628,0.0,0.04190340467969647,0.0,0.10971114600273649,0.0
2,isobaric,nrtl,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.03551912568306011,0.0,1.0,0.0,4.629228444908009,0.0,0.5732930156159801,0.0,20.722538094704746,0.0,6.8706129044319715,0.0,26.232880047681732,0.0,0.9644808743169399,0.0,0.026135741612531307,0.0,0.9641470206275948,0.0,0.08370536520910535,0.0,0.0341300541091906,0.0,0.10245233690944773,0.0
3,isobaric,nrtl,0.0,0.0,,,,,,,,,,,state_composition_edge_extrapolation,1,0.010309278350515464,0.0,1.0,0.0,1.9394896112735307,0.0,0.977582379759463,0.0,3.816266437286837,0.0,2.893717688073544,0.0,5.629175011265054,0.0,0.9896907216494846,0.0,0.06287144370528035,0.0,0.8049206838279039,0.0,0.11724397616447288,0.0,0.0846568328174788,0.0,0.14320207317591818,0.0
,isothermal,wilson,0.0,0.0,1.0885233394867386,0.0,0.9973669261915563,0.0,4.100785901487265,0.0,1.2334389100371321,0.0,4.508014193010446,0.0,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.006290585326107202,0.0,0.9985482660736321,0.0,0.016010416004521202,0.0,0.007214959551295987,0.0,0.018984803057879127,0.0
2,isothermal,wilson,0.0,0.0,1.210869842161989,0.0,0.9973117644509053,0.0,4.693191474587967,0.0,1.2998583252891207,0.0,4.799083513011547,0.0,state_composition_edge_extrapolation,1,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.004979919302985944,0.0,0.9989368456816593,0.0,0.014841850434805704,0.0,0.0069147119774590135,0.0,0.01903931542034841,0.0
