model,training_scope,evaluation_scope,direction,component_count,status,valid_seeds,seed_count,state_metric,state_mae_mean,state_mae_sample_std,state_rmse_mean,state_rmse_sample_std,state_r2_mean,state_r2_sample_std,y_mae_mean,y_mae_sample_std,y_rmse_mean,y_rmse_sample_std,y_r2_mean,y_r2_sample_std,coverage_mean,coverage_sample_std,solver_failure_rate_mean,solver_failure_rate_sample_std,source
SPT-NRTL adapted,joint,joint,isobaric,2+3,evaluated,5,5,T_K,14.173710576225124,2.3405335963002445,24.568922083535817,5.024953676867383,0.18283560519593103,0.2050521903292258,0.14370804767729148,0.016366060993215064,0.21462485770396772,0.026052728408871274,0.510528987322088,0.0965040871781763,0.9094011317339714,0.05398740259411348,0.0905988682660287,0.05398740259411348,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl_adapted.on.joint_train_joint_test/metrics_summary.csv
SPT-NRTL adapted,joint,joint,isothermal,2+3,evaluated,5,5,P_kPa,35.007165081206196,12.083857315939538,81.63089615211346,28.62318650112325,0.5905861814231634,0.20408861017165178,0.07388848769610334,0.009561669774103408,0.11773399146688032,0.008014065441651123,0.8711322045495098,0.026027066208061556,1.0,0.0,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl_adapted.on.joint_train_joint_test/metrics_summary.csv
SPT-NRTL adapted,joint,joint,isobaric,3,evaluated,5,5,T_K,29.39697029030193,16.438419793497353,34.64772818463767,18.662732863235806,-29.48124109527056,55.884144124658214,0.23794330892430376,0.12994769389339808,0.30788166537932116,0.13965464735475336,-0.36891293042699547,0.7904064175383267,0.7235103698216648,0.19884047209680758,0.27648963017833506,0.19884047209680755,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl_adapted.on.joint_train_joint_test/metrics_summary.csv
SPT-NRTL adapted,joint,joint,isothermal,3,evaluated_partial_seeds,4,5,P_kPa,13.814776568202022,11.64023275530969,15.977342925730241,11.838088596383528,0.0361145650642101,0.9932459852820897,0.061666270732908444,0.029111784163042734,0.08407615475572826,0.03307918609876686,0.8921712167763113,0.07416143183797998,0.8,0.4472135954999579,0.0,0.0,results/benchmarks/vle/comparison/v1/machine_learning/spt_nrtl_adapted.on.joint_train_joint_test/metrics_summary.csv
SolvGNN,joint,joint,isobaric,2,not_applicable,0,5,T_K,,,,,,,,,,,,,0.0,0.0,,,results/benchmarks/vle/comparison/v1/machine_learning/solvgnn.on.joint_train_joint_test/metrics_summary.csv
SolvGNN,joint,joint,isothermal,2,evaluated_partial_seeds,3,5,P_kPa,0.9350091729982767,0.33985508442802936,1.067891291148624,0.43423985293893114,-3.5880267735737092,7.574972116307544,0.05230319938481076,0.03964807243146478,0.07230159233162706,0.05650500242582873,0.8705483578312644,0.13068974955493476,0.022850969476330658,0.023818418161960637,,,results/benchmarks/vle/comparison/v1/machine_learning/solvgnn.on.joint_train_joint_test/metrics_summary.csv
SolvGNN,joint,joint,isobaric,2+3,not_applicable,0,5,T_K,,,,,,,,,,,,,0.0,0.0,,,results/benchmarks/vle/comparison/v1/machine_learning/solvgnn.on.joint_train_joint_test/metrics_summary.csv
SolvGNN,joint,joint,isothermal,2+3,evaluated_partial_seeds,3,4,P_kPa,0.9350091729982767,0.33985508442802936,1.067891291148624,0.43423985293893114,-3.5880267735737092,7.574972116307544,0.05230319938481076,0.03964807243146478,0.07230159233162706,0.05650500242582873,0.8705483578312644,0.13068974955493476,0.024831833506064622,0.021797110807163123,,,results/benchmarks/vle/comparison/v1/machine_learning/solvgnn.on.joint_train_joint_test/metrics_summary.csv
SolvGNN,joint,joint,isobaric,3,not_applicable,0,5,T_K,,,,,,,,,,,,,0.0,0.0,,,results/benchmarks/vle/comparison/v1/machine_learning/solvgnn.on.joint_train_joint_test/metrics_summary.csv
SolvGNN,joint,joint,isothermal,3,not_evaluated_no_298k_coverage,0,5,P_kPa,,,,,,,,,,,,,0.0,0.0,,,results/benchmarks/vle/comparison/v1/machine_learning/solvgnn.on.joint_train_joint_test/metrics_summary.csv
