best_baseline,case_id,component_1,component_2,component_smiles_1,component_smiles_2,condition,direction,doi,nrtl_curve_score,nrtl_state_mae,nrtl_state_rmse,nrtl_y_mae,nrtl_y_rmse,points,protocol,selection_category,state_scale,system_id,thermoformer_curve_score,thermoformer_minus_best_baseline_score,thermoformer_state_mae,thermoformer_state_rmse,thermoformer_y_mae,thermoformer_y_rmse,uniquac_curve_score,uniquac_state_mae,uniquac_state_rmse,uniquac_y_mae,uniquac_y_rmse,wilson_curve_score,wilson_state_mae,wilson_state_rmse,wilson_y_mae,wilson_y_rmse
nrtl,state_temperature_high_extrapolation:2c_d498cbbd8f767d43f3e7:308.15,diisopropyl ether,2-chlorobutane,CC(C)OC(C)C,CCC(C)Cl,308.15,isothermal,10.1016/j.fluid.2011.06.001,0.1235507411609585,0.5712786522992678,0.6167120201669398,0.0062186839748879785,0.007171959891594525,12,state_temperature_high_extrapolation,,5.0,2c_d498cbbd8f767d43f3e7,0.12990279976584498,0.006352058604886482,0.5491850492387842,0.6448629794180952,0.013838002316653705,0.015517954054768433,0.12415463089017184,0.5732190726487639,0.6197358257411834,0.006193454592924486,0.007174442360947334,0.12433058438899203,0.5752566753906448,0.6206023204940841,0.006279204835375186,0.007225275524337446
wilson,state_temperature_high_extrapolation:2c_ea9da779580d9b792700:325.15,diisopropyl ether,methanol,CC(C)OC(C)C,CO,325.15,isothermal,10.1016/j.jct.2012.11.005,0.07340812300232553,1.7171908880356392,2.0181470540582143,0.01109955250681784,0.014943131961217436,16,state_temperature_high_extrapolation,,28.080090503424003,2c_ea9da779580d9b792700,0.11244439473191642,0.06911758506736734,2.8150330116212743,3.1061867285743214,0.017198096472769993,0.02017960817723497,0.06086186716620942,1.3086507067354871,1.668125963359415,0.009991394785075778,0.013232293323109458,0.043326809664549076,1.147328259167029,1.1953009083682467,0.006749272829560296,0.008075602708270282
uniquac,state_temperature_low_extrapolation:2c_23001626ba9c10a2709a:288.15,2-chloro-2-methylpropane,diisopropyl ether,CC(C)(C)Cl,CC(C)OC(C)C,288.15,isothermal,10.1016/j.fluid.2011.06.001,0.017672950564516378,0.13564891317712868,0.18640396414371346,0.0072363474656818,0.009112378762723833,11,state_temperature_low_extrapolation,,12.309920882176002,2c_23001626ba9c10a2709a,0.12428227508205772,0.10676779634417434,1.4131185337874388,1.4755187754832588,0.027174848108941874,0.0328429337561187,0.01751447873788338,0.14239121087519974,0.1855131170671402,0.007119409375957377,0.008924442646125975,0.017774953852074008,0.13597483809706531,0.18756706362411407,0.00725961136835775,0.009153187265144188
uniquac,state_temperature_low_extrapolation:2c_4cc4055379eb0154120e:317.6,butane,diethyl sulfide,CCCC,CCSCC,317.6,isothermal,10.1016/j.fluid.2010.01.006,0.020221501380547527,5.6926431664278105,7.304179272273182,0.006290882905979964,0.009402821096716588,26,state_temperature_low_extrapolation,well_predicted,407.999909994368,2c_4cc4055379eb0154120e,0.01179128651758027,-0.006797481805470939,3.695139683819397,4.382226066271842,0.004248005261787998,0.004865251564816663,0.01858876832305121,4.84265111696532,6.186407049107213,0.0069672536671918596,0.01075327129214201,0.023491483703173447,6.920769173507016,9.0062199227246,0.005749413533026973,0.008036485188536835
nrtl,state_temperature_low_extrapolation:2c_5018f9e15dae7c08710f:288.15,1-chloro-2-methylpropane,diisopropyl ether,CC(C)CCl,CC(C)OC(C)C,288.15,isothermal,10.1016/j.fluid.2011.06.001,0.04305284963246698,0.18457028146594048,0.21481265118663806,0.002127340454911296,0.002787266955733324,11,state_temperature_low_extrapolation,,5.0,2c_5018f9e15dae7c08710f,0.2412385564217795,0.19818570678931252,0.9542160056860454,1.1954199780282766,0.027428253153237436,0.032169615317859834,0.04322417228159318,0.18727638280794714,0.21571956427627437,0.0019776725776746275,0.002632841234678057,0.04307092610451043,0.18464445537528446,0.21490302450734028,0.002128077263989676,0.002787880521847743
nrtl,state_temperature_low_extrapolation:2c_6f361cb0ec8be0b0e6dd:313.15,diisopropyl ether,ethanol,CC(C)OC(C)C,CCO,313.15,isothermal,10.1016/j.jct.2012.11.005,0.1107049242405643,1.6745923949206998,1.703258508489913,0.0209989238946942,0.022710506553328635,11,state_temperature_low_extrapolation,,15.719907088512002,2c_6f361cb0ec8be0b0e6dd,0.06645167794242986,-0.044253246298134444,0.8564067610663048,0.9182378198217853,0.028537470167333445,0.031683034211909815,0.11979206371242021,1.8241966857821916,1.8499266368407046,0.021659326248185198,0.022392784343319514,0.11631153793968303,1.7453838540034232,1.7903190705451884,0.023265408516483312,0.023616692936356536
nrtl,state_temperature_low_extrapolation:2c_c830dc760c5163d2d27d:333.15,"2,2,4-trimethylpentane",2-methyl-1-propanol,CC(C)CC(C)(C)C,CC(C)CO,333.15,isothermal,10.1016/j.fluid.2011.05.011,0.035634775488845534,0.5973204059522194,0.6872630427510036,0.01178800110594001,0.014384259732007534,13,state_temperature_low_extrapolation,,21.079999571583997,2c_c830dc760c5163d2d27d,0.03760631010445374,0.0019715346156082073,0.3984066928421776,0.520235512723952,0.020715942947681122,0.02837562967984127,0.04444239363172043,0.7759987089825322,0.8553713759516428,0.014146188921441923,0.018127375038441175,0.03761089354433923,0.6862339207595141,0.7471431169055817,0.009903338685736795,0.012584009138574704
wilson,state_temperature_low_extrapolation:2c_c879fc0732268fc652fa:288.15,diisopropyl ether,1-chlorobutane,CC(C)OC(C)C,CCCCCl,288.15,isothermal,10.1016/j.fluid.2011.06.001,0.07568038930266861,0.3428866849574375,0.3740849779208689,0.009084630406935681,0.011399056836475473,11,state_temperature_low_extrapolation,,5.0,2c_c879fc0732268fc652fa,0.2752648846376155,0.20191659357987665,1.007820050699179,1.3661015205245544,0.027564154115048322,0.03348764159178455,0.07450579649853921,0.3389949214376637,0.3683702154343949,0.008780548342293347,0.011101760541213092,0.07334829105773885,0.33531712230909316,0.36274844646423055,0.008450191056181484,0.010794182905725761
wilson,state_temperature_low_extrapolation:2c_d498cbbd8f767d43f3e7:288.15,diisopropyl ether,2-chlorobutane,CC(C)OC(C)C,CCC(C)Cl,288.15,isothermal,10.1016/j.fluid.2011.06.001,0.06815755955701347,0.32372744613111326,0.34021548141405544,0.003582625156586352,0.0039484139874052665,12,state_temperature_low_extrapolation,,5.0,2c_d498cbbd8f767d43f3e7,0.24280445923444066,0.17473453659077443,0.9970840246923768,1.203865780397364,0.024172816443939992,0.03134154966907337,0.06913916713240173,0.331065777756713,0.34522401117570317,0.0032682551640962495,0.003611054703614884,0.06806992264366622,0.32356922863290194,0.339789879445909,0.003549060142975654,0.003902291859931823
wilson,state_temperature_low_extrapolation:2c_ea9da779580d9b792700:305.15,diisopropyl ether,methanol,CC(C)OC(C)C,CO,305.15,isothermal,10.1016/j.jct.2012.11.005,0.13062157890390738,1.168963734674807,1.2469641984371442,0.013946258163961514,0.016129154681041,16,state_temperature_low_extrapolation,,9.620008785408004,2c_ea9da779580d9b792700,0.1439735076467772,0.0786600832225984,1.2707974204696382,1.3687438600478865,0.01790204429626468,0.022011496667248654,0.11903447928870384,1.0831893230569523,1.137941946918962,0.011201192389982378,0.013300445205934278,0.06531342442417878,0.5838774030772482,0.6103454466332026,0.013034153973313072,0.015508796402740159
