model,T,S,status,E,R,xE,xR,total_balance_error,benzene_recovery,heptane_retention,solvent_to_raffinate,E_benzene_solvent_free
Experiment-interpolation,298.15,1.5,valid,1.7383289780692577,0.7616710219307423,"[0.07123755002614429, 0.827143765625728, 0.10161868434812783]","[0.8002129767930822, 0.08159956384571777, 0.11818745936119997]",1.1102230246251565e-16,0.6624251389335878,0.8311350488130387,0.06215202318347071,0.587879776023009
ThermoFormer,298.15,1.5,valid,1.7293458500871841,0.7706541499128159,"[0.07241711089503117, 0.8325531036176934, 0.09502978548727534]","[0.7890687452996937, 0.07815145780808408, 0.1327797968922222]",2.220446049250313e-16,0.6162726193766055,0.829226049725056,0.060227745281536335,0.5675219280882221
UNIFAC-LLE,298.15,1.5,valid,1.740506300563557,0.759493699436443,"[0.06867911270961773, 0.8276713114855085, 0.10364957580487369]","[0.8081658944644, 0.07825327268398681, 0.11358083285161308]",2.220446049250313e-16,0.6765102740217104,0.8369957794706306,0.05943286756376989,0.6014644264884406
Experiment-interpolation,298.15,1.6,valid,1.8513239377291533,0.7486760622708467,"[0.07053004043998345, 0.8315750098758931, 0.09789494968412349]","[0.8051003785395879, 0.08078965155629685, 0.11410996990411522]",2.220446049250313e-16,0.6796322389987832,0.8219446106424366,0.0604852781994021,0.5812376750741554
ThermoFormer,298.15,1.6,valid,1.843240799186399,0.7567592008136009,"[0.07230002937639013, 0.8361846284342139, 0.09151534218939583]","[0.7929430772156538, 0.07758131933436307, 0.12947560344998307]",1.1102230246251565e-16,0.6325680467812453,0.8182731400969032,0.058710377217537364,0.5586492971610088
UNIFAC-LLE,298.15,1.6,valid,1.8528882492907415,0.7471117507092587,"[0.06783458953718378, 0.832384238158664, 0.09978117230415226]","[0.8133233333668871, 0.07721070665295168, 0.10946595998016136]",3.3306690738754696e-16,0.6933126062355699,0.828604662933307,0.057685026220985744,0.5952970723517306
Experiment-interpolation,298.15,1.7,valid,1.9637211644073682,0.7362788355926315,"[0.06987233459348312, 0.8356943254408161, 0.09443333996570077]","[0.8096437412950177, 0.08003675144253991, 0.11031950726244234]",4.440892098500626e-16,0.6954028061862103,0.8128957514803057,0.058929366156730154,0.5747418049866886
ThermoFormer,298.15,1.7,valid,1.9567927957291844,0.7432072042708153,"[0.07226086938439247, 0.8394742548718864, 0.08826487574372112]","[0.7964586205667797, 0.077128996512902, 0.1264123829203183]",0.0,0.6476852736421692,0.8071824336938545,0.05732282586656736,0.5498487216071044
UNIFAC-LLE,298.15,1.7,valid,1.9646691554618294,0.7353308445381703,"[0.06706295808744185, 0.8367446790460565, 0.09619236286650151]","[0.8181035959163829, 0.07625620290227303, 0.1056402011813439]",1.9984014443252818e-15,0.7086981311805256,0.8203320110521471,0.0560735380814025,0.5892142584047153
Experiment-interpolation,298.15,1.8,valid,2.0755927199226134,0.7244072800773864,"[0.0692593991381109, 0.8395332369770947, 0.09120736388479439]","[0.8138778349012072, 0.07933510164494277, 0.10678706345384986]",1.1102230246251565e-16,0.7099100268097951,0.8039714027673488,0.05747092519727598,0.5683878839867624
ThermoFormer,298.15,1.8,valid,2.0700572579481555,0.7299427420518442,"[0.07227971180719583, 0.8424707947525591, 0.08524949344024493]","[0.799665724004128, 0.0767693320103372, 0.12356494398553478]",1.6653345369377348e-16,0.6617674973714358,0.7959684426878816,0.05603721671311395,0.5411662764776749
UNIFAC-LLE,298.15,1.8,valid,2.0759259354224393,0.7240740645775605,"[0.06635515295583957, 0.8407910793482367, 0.09285376769592371]","[0.8225470010597096, 0.07537901822379511, 0.10207398071649536]",4.052314039881821e-15,0.7228407921062338,0.812161295950073,0.054579992109169334,0.5832196293763099
Experiment-interpolation,298.15,1.9,valid,2.1869995949466494,0.7130004050533505,"[0.0686868500690535, 0.8431192021990856, 0.08819394773186083]","[0.8178329436019327, 0.07867968363167972, 0.10348737276638761]",3.885780586188048e-16,0.7233004798737196,0.7951571182556618,0.056098646298857115,0.5621717187069711
ThermoFormer,298.15,1.9,valid,2.1830901521124897,0.7169098478875103,"[0.07234797782542923, 0.8452072817723388, 0.08244474040223183]","[0.8025990675297157, 0.07648982201963672, 0.12091111045064752]",2.220446049250313e-16,0.6749411282459362,0.7846243301146174,0.0548363066690405,0.5326138163745946
UNIFAC-LLE,298.15,1.9,valid,2.1867228245282284,0.7132771754717716,"[0.06570355518402378, 0.844556444426137, 0.08974000038983938]","[0.8266882634647315, 0.07457009448785654, 0.098741642047412]",1.0047518372857667e-14,0.7358869017211647,0.8040789130360738,0.053189146370961435,0.5773156697203636
Experiment-interpolation,298.15,2.0,valid,2.2979937452086654,0.7020062547913345,"[0.06815085248600099, 0.8464762396929408, 0.08537290782105816]","[0.8215355584848612, 0.07806610745108016, 0.10039833406405868]",4.440892098500626e-16,0.7356990306865034,0.786440591713452,0.05480289571787067,0.5560892180487624
ThermoFormer,298.15,2.0,valid,2.2959261611216837,0.7040738388783164,"[0.07245312648107127, 0.8477177200760668, 0.0798291534428618]","[0.805293810793579, 0.07627425742232524, 0.11843193178409574]",4.440892098500626e-16,0.6873069067862381,0.773163142895978,0.05370270923092945,0.5242182707189403
UNIFAC-LLE,298.15,2.0,valid,2.2971139024493663,0.7028860975506338,"[0.065101714265165, 0.8480692765924667, 0.08682900914236821]","[0.8305574437393063, 0.0738217396532516, 0.09562081660744223]",1.9595436384634013e-14,0.7479604651382128,0.796073564211206,0.0518882744992729,0.5715039538741704
Experiment-interpolation,298.15,2.1,valid,2.4086196965243403,0.6913803034756597,"[0.06764803811880826, 0.849625445466411, 0.08272651641478078]","[0.8250089472056001, 0.07749051732021484, 0.09750053547418494]",2.220446049250313e-16,0.7472126882305701,0.7778112767579215,0.053575417381336,0.5501364022082753
ThermoFormer,298.15,2.1,valid,2.408592335821695,0.6914076641783052,"[0.07258530197104873, 0.850030603007123, 0.07738409502182816]","[0.8077794913892228, 0.0761096630967909, 0.11611084551398632]",2.7755575615628914e-16,0.6989502681902751,0.7615976336080391,0.05262280438314996,0.5159992410018404
UNIFAC-LLE,298.15,2.1,valid,2.4071450351786905,0.6928549648213095,"[0.06454413201386242, 0.851354323304005, 0.08410154468213274]","[0.8341807098911481, 0.07312737882150926, 0.09269191128734265]",8.881784197001252e-16,0.7591673089967059,0.7881357905539724,0.05066666748085137,0.5657853396848818
Experiment-interpolation,298.15,2.2,valid,2.518915821018927,0.6810841789810734,"[0.06717543710830652, 0.8525854202163956, 0.08023914267529793]","[0.8282736252386715, 0.07694951353187732, 0.09477686122945123]",4.440892098500626e-16,0.7579336723117603,0.7692600845691244,0.05240909624685166,0.5443094081540921
