task,protocol,subset,seed,direction,target,metric,value
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isobaric,y,mae,0.016532162719910686
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isobaric,y,rmse,0.025354785813790134
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isobaric,y,r2,0.9915067315192369
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isothermal,P,mae,3.6644366513570157
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isothermal,P,rmse,8.976930559877596
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isothermal,P,r2,0.9961120280822112
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isothermal,y,mae,0.0075641331186401635
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isothermal,y,rmse,0.012533502769705959
VLE,vle_binary_state_pressure_high_extrapolation,2,0,isothermal,y,r2,0.9988496954123965
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isobaric,T,mae,1.1348922371188617
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isobaric,T,rmse,1.4990525094230507
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isobaric,T,r2,0.9947035636593458
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isobaric,y,mae,0.020158384210709854
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isobaric,y,rmse,0.02783981101033538
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isobaric,y,r2,0.9897602930922493
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isothermal,P,mae,4.196381105774526
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isothermal,P,rmse,10.659902119961055
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isothermal,P,r2,0.994517560827656
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isothermal,y,mae,0.008374011126400753
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isothermal,y,rmse,0.01312447054355542
VLE,vle_binary_state_pressure_high_extrapolation,all,1,isothermal,y,r2,0.9987386619002943
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isobaric,T,mae,1.1348922371188617
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isobaric,T,rmse,1.4990525094230507
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isobaric,T,r2,0.9947035636593458
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isobaric,y,mae,0.020158384210709854
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isobaric,y,rmse,0.02783981101033538
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isobaric,y,r2,0.9897602930922493
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isothermal,P,mae,4.196381105774526
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isothermal,P,rmse,10.659902119961055
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isothermal,P,r2,0.994517560827656
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isothermal,y,mae,0.008374011126400753
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isothermal,y,rmse,0.01312447054355542
VLE,vle_binary_state_pressure_high_extrapolation,2,1,isothermal,y,r2,0.9987386619002943
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isobaric,T,mae,1.211633439160551
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isobaric,T,rmse,1.5432654326478914
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isobaric,T,r2,0.9943865310800544
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isobaric,y,mae,0.021630167798414403
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isobaric,y,rmse,0.028776433667249916
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isobaric,y,r2,0.989059708343004
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isothermal,P,mae,4.022040267510508
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isothermal,P,rmse,11.939795138999028
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isothermal,P,r2,0.9931220163591984
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isothermal,y,mae,0.007332789673204715
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isothermal,y,rmse,0.010877527130008514
VLE,vle_binary_state_pressure_high_extrapolation,all,2,isothermal,y,r2,0.9991335803776418
VLE,vle_binary_state_pressure_high_extrapolation,2,2,isobaric,T,mae,1.211633439160551
VLE,vle_binary_state_pressure_high_extrapolation,2,2,isobaric,T,rmse,1.5432654326478914
VLE,vle_binary_state_pressure_high_extrapolation,2,2,isobaric,T,r2,0.9943865310800544
VLE,vle_binary_state_pressure_high_extrapolation,2,2,isobaric,y,mae,0.021630167798414403
VLE,vle_binary_state_pressure_high_extrapolation,2,2,isobaric,y,rmse,0.028776433667249916
