seed,sample_id,system_id,component_count,representative_categories,chemical_family,component_i,component_j,smiles_i,smiles_j,name_i,name_j,temperature_k,pressure_kpa,x_i,x_j,learned_pair_potential,absolute_pair_potential,normalized_absolute_pair_weight,composition_weighted_pair_contribution,component_i_mask_delta_log_gamma,component_j_mask_delta_log_gamma,component_i_mask_delta_y,component_j_mask_delta_y,component_i_mask_delta_ge_rt,component_j_mask_delta_ge_rt,mean_pair_mask_delta_log_gamma,mean_pair_mask_delta_y,mean_abs_log_gamma,excess_gibbs_rt,mean_abs_log_relative_volatility_shift,vle_deviation_from_ideality,relative_volatility_ij,evaluation_partition,mask_baseline
4,state_268f358021d2677393608224,2c_908dceb4b86ca8f62d00,2,,alkane/cycloalkane + halogenated,1,2,CCCCCl,CCCCCCC,1-氯丁烷,正庚烷,346.91999999999996,79.999953596032,0.7392,0.26080000000000003,1.0807663202285767,1.0807663202285767,1.0,0.208353762588501,0.18850553035736084,0.04039713740348816,0.19155728816986084,0.01218801736831665,0.09995049238204956,0.003274962306022644,0.1144513338804245,0.10187265276908875,0.30400997400283813,0.20835375785827637,0.39990055561065674,0.0648462176322937,1.1301794052124023,test,mean training-set Uni-Mol token
4,state_26a923e2a0b4f3b5f6311716,3c_f6a2de3ac0acbac84e4f,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,2,CCO,CC(=O)C,乙醇,丙酮,331.01,101.299935074816,0.15,0.585,1.0588802099227905,1.0588802099227905,0.23465500326838343,0.09291673842072486,0.12525710463523865,0.19658973813056946,0.06607790291309357,0.275958776473999,0.020865648984909058,0.11084741353988647,0.16092342138290405,0.1710183396935463,0.5325915217399597,0.37887871265411377,0.41720910867055255,0.07358680665493011,0.8890495300292969,test,mean training-set Uni-Mol token
4,state_26a923e2a0b4f3b5f6311716,3c_f6a2de3ac0acbac84e4f,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,3,CCO,CC(C)CC(C)(C)C,乙醇,异辛烷,331.01,101.299935074816,0.15,0.265,2.1638264656066895,2.1638264656066895,0.47951855328014453,0.08601210200786591,0.12525710463523865,0.12163262069225311,0.06607790291309357,0.03218688443303108,0.020865648984909058,0.09924203157424927,0.12344486266374588,0.049132393673062325,0.5325915217399597,0.37887871265411377,0.41720910867055255,0.07358680665493011,1.9363102912902832,test,mean training-set Uni-Mol token
4,state_26a923e2a0b4f3b5f6311716,3c_f6a2de3ac0acbac84e4f,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,2,3,CC(=O)C,CC(C)CC(C)(C)C,丙酮,异辛烷,331.01,101.299935074816,0.585,0.265,1.289791226387024,1.289791226387024,0.28582644345147207,0.19994988487064838,0.19658973813056946,0.12163262069225311,0.275958776473999,0.03218688443303108,0.11084741353988647,0.09924203157424927,0.15911117941141129,0.15407283045351505,0.5325915217399597,0.37887871265411377,0.41720910867055255,0.07358680665493011,2.177955389022827,test,mean training-set Uni-Mol token
4,state_26caa2de85a7edf23689f847,2c_a873f6bbdf8411ff9a25,2,,alkane/cycloalkane + aromatic/unsaturated hydrocarbon,1,2,CCCCCCCCC,C1=CC=CC=C1,正壬烷,苯,363.4,101.299935074816,0.359,0.641,0.046701617538928986,0.046701617538928986,1.0,0.0107469295264408,0.060041479766368866,0.41467463970184326,0.1464039385318756,0.11558686941862106,0.06431534886360168,0.3741617202758789,0.23735805973410606,0.13099540397524834,0.056550100445747375,0.010746928863227367,0.11310020089149475,0.008697330951690674,0.17308259010314941,test,mean training-set Uni-Mol token
4,state_26dc41c6e5feb1dbe9265a9b,2c_4cf4774918df9099eea7,2,,carboxylic acid/ester + carboxylic acid/ester,1,2,COC(=O)CCCC(=O)OC,COC(=O)CCCCC(=O)OC,戊二酸二甲酯,己二酸二甲酯,395.79999999999995,5.199972319104,1.0,0.0,1.1897369623184204,1.1897369623184204,1.0,0.0,0.7723135948181152,0.2873770594596863,1.3884350483564512e-12,4.031292313855239e-11,0.0,0.0,0.5298453271389008,2.0850679093454422e-11,0.5948684811592102,0.0,1.1897369623184204,9.705248757430063e-13,0.35841408371925354,test,mean training-set Uni-Mol token
4,state_26e51856c658e7f77c810bee,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,2,CC(C)CO,CC(C)CC(C)(C)C,2-甲基-1-丙醇,异辛烷,333.15,30.030063457792,0.0852,0.6372,1.6083379983901978,1.6083379983901978,0.5284937121658753,0.08731576926332472,0.21486487984657288,0.1882646083831787,0.008552822284400463,0.0034178297501057386,0.06936845183372498,0.13537099957466125,0.2015647441148758,0.005985326017253101,0.4304240345954895,0.2203705906867981,0.5316372712453207,0.0513017475605011,1.21682870388031,test,mean training-set Uni-Mol token
4,state_26e51856c658e7f77c810bee,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,3,CC(C)CO,CC(C)CC(=O)C,2-甲基-1-丙醇,4-甲基-2-戊酮,333.15,30.030063457792,0.0852,0.27760000000000007,0.7880818247795105,0.7880818247795105,0.2589606721255457,0.018639333040409094,0.21486487984657288,0.030543288215994835,0.008552822284400463,0.06878133863210678,0.06936845183372498,0.017270773649215698,0.12270408403128386,0.03866708045825362,0.4304240345954895,0.2203705906867981,0.5316372712453207,0.0513017475605011,2.086566686630249,test,mean training-set Uni-Mol token
4,state_26e51856c658e7f77c810bee,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,2,3,CC(C)CC(C)(C)C,CC(C)CC(=O)C,异辛烷,4-甲基-2-戊酮,333.15,30.030063457792,0.6372,0.27760000000000007,0.6468292474746704,0.6468292474746704,0.21254561570857905,0.11441550398586277,0.1882646083831787,0.030543288215994835,0.0034178297501057386,0.06878133863210678,0.13537099957466125,0.017270773649215698,0.10940394829958677,0.03609958419110626,0.4304240345954895,0.2203705906867981,0.5316372712453207,0.0513017475605011,1.7147578001022339,test,mean training-set Uni-Mol token
4,state_26f485d686173b05d112145c,2c_908dceb4b86ca8f62d00,2,,alkane/cycloalkane + halogenated,1,2,CCCCCl,CCCCCCC,1-氯丁烷,正庚烷,351.51,79.999953596032,0.4213,0.5787,0.9531006813049316,0.9531006813049316,1.0,0.23237196016744135,0.16178393363952637,0.03034389019012451,0.11216123402118683,0.008017823100090027,0.15793219208717346,0.034331128001213074,0.09606391191482544,0.06008952856063843,0.2471330165863037,0.2323719561100006,0.18756115436553955,0.04584614932537079,2.0284674167633057,test,mean training-set Uni-Mol token
4,state_271b9081ba8810d4f1266c77,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,2,CC(C)CO,CC(C)CC(C)(C)C,2-甲基-1-丙醇,异辛烷,348.15,49.410069515008,0.0732,0.5484,1.830056071281433,1.830056071281433,0.45694487996791305,0.073463721262722,0.1814439743757248,0.16444425284862518,0.00470000272616744,0.0003563960490282625,0.051375627517700195,0.1484619826078415,0.172944113612175,0.0025281993875978515,0.5172591805458069,0.32407626509666443,0.5114022890726725,0.04333534836769104,1.3006337881088257,test,mean training-set Uni-Mol token
4,state_271b9081ba8810d4f1266c77,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,3,CC(C)CO,CC(C)CC(=O)C,2-甲基-1-丙醇,4-甲基-2-戊酮,348.15,49.410069515008,0.0732,0.37839999999999996,1.1162333488464355,1.1162333488464355,0.2787111944868806,0.030918413581695555,0.1814439743757248,0.03720126673579216,0.00470000272616744,0.08585336059331894,0.051375627517700195,0.006711870431900024,0.10932262055575848,0.04527668165974319,0.5172591805458069,0.32407626509666443,0.5114022890726725,0.04333534836769104,2.286750316619873,test,mean training-set Uni-Mol token
4,state_271b9081ba8810d4f1266c77,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,2,3,CC(C)CC(C)(C)C,CC(C)CC(=O)C,异辛烷,4-甲基-2-戊酮,348.15,49.410069515008,0.5484,0.37839999999999996,1.0586926937103271,1.0586926937103271,0.26434392554520636,0.2196941485105133,0.16444425284862518,0.03720126673579216,0.0003563960490282625,0.08585336059331894,0.1484619826078415,0.006711870431900024,0.10082275979220867,0.0431048783211736,0.5172591805458069,0.32407626509666443,0.5114022890726725,0.04333534836769104,1.7581806182861328,test,mean training-set Uni-Mol token
4,state_27455d8ea649ef1a6f150ed1,2c_c879fc0732268fc652fa,2,,ether/carbonyl + halogenated,1,2,CCCCCl,CC(C)OC(C)C,1-氯丁烷,二异丙醚,308.15,25.189928209919998,0.603,0.397,-0.9445963501930237,0.9445963501930237,1.0,-0.22612786486905812,0.37729737162590027,0.28642135858535767,0.21143582463264465,0.2209303081035614,0.34562554955482483,0.26654618978500366,0.33185936510562897,0.21618306636810303,0.24933511018753052,-0.22612786293029785,0.22531288862228394,0.0562378466129303,0.7030726075172424,test,mean training-set Uni-Mol token
4,state_2748136c7034ec8577e6407d,3c_485aadc678c8a7fb274c,3,,alcohol/polyol + alkane/cycloalkane + ether/carbonyl,1,2,CC(C)CO,CC(C)CC(C)(C)C,2-甲基-1-丙醇,异辛烷,333.15,15.760037121279998,0.5485,0.006,1.075368046760559,1.075368046760559,0.7961355854228478,0.003539036241889,0.1973201036453247,0.21666137874126434,0.09135331958532333,0.011783750727772713,0.184909850358963,0.022263314574956894,0.20699074119329453,0.05156853515654802,0.23231443762779236,0.029990559443831444,0.3556538720925649,0.04210549592971802,0.32152220606803894,test,mean training-set Uni-Mol token
